contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2586231685,49,13,1,3,40,M. Jespersen,7nt9il7b9vvtgfco15bdpfpx,1,90.4,28.8,2023-09-03T13:05:42.287,2023-09-03T13:07:07,1.0,"{""id"": 4487748735, ""qualifierId"": 321, ""value"": ""0.03598016873002052""}",4487748735,321,0.03598016873002052,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Miss,Expected Goals
36g6ifzjliec1jqnbtf7yesme,AaB,2586233217,53,15,1,4,49,M. Højholt,eyx42tgneccybvhk8bfhtcaqy,1,84.9,41.9,2023-09-03T13:06:51.931,2023-09-03T14:08:44,1.0,"{""id"": 4487807273, ""qualifierId"": 321, ""value"": ""0.05091274902224541""}",4487807273,321,0.05091274902224541,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Attempt Saved,Expected Goals
36g6ifzjliec1jqnbtf7yesme,AaB,2586233281,54,15,1,4,50,N. Helenius,rv6r0bwbl75er38wklyfpsr9,1,89.8,46.6,2023-09-03T13:06:52.194,2023-09-03T14:08:41,NaN,"{""id"": 4487811223, ""qualifierId"": 321, ""value"": ""0.10659998655319214""}",4487811223,321,0.10659998655319214,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Attempt Saved,Expected Goals
36g6ifzjliec1jqnbtf7yesme,AaB,2586233401,56,15,1,4,56,N. Helenius,rv6r0bwbl75er38wklyfpsr9,1,94.2,48.2,2023-09-03T13:06:58.180,2023-09-05T22:30:15,1.0,"{""id"": 4487811901, ""qualifierId"": 321, ""value"": ""0.3022422790527344""}",4487811901,321,0.3022422790527344,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2586238815,81,13,1,9,15,C. Kudsk,eja5wel1vk3bq6nf416b4ajft,1,70.6,52.8,2023-09-03T13:11:17.677,2023-09-03T13:12:30,1.0,"{""id"": 4487786303, ""qualifierId"": 321, ""value"": ""0.020409835502505302""}",4487786303,321,0.020409835502505302,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2586243233,112,15,1,12,23,M. Jespersen,7nt9il7b9vvtgfco15bdpfpx,1,74.4,40.0,2023-09-03T13:14:25.845,2023-09-05T22:30:12,1.0,"{""id"": 4487810163, ""qualifierId"": 321, ""value"": ""0.030964437872171402""}",4487810163,321,0.030964437872171402,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2586262857,210,13,1,27,15,A. Nørager,8ewvm6ux4yvpwgrzjkc1chqwa,1,79.6,69.3,2023-09-03T13:29:17.561,2023-09-03T13:30:33,NaN,"{""id"": 4487912783, ""qualifierId"": 321, ""value"": ""0.025467105209827423""}",4487912783,321,0.025467105209827423,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2586300271,404,15,2,45,51,T. Mikkelsen,3l0wq19mq865qi29ndtb0axn9,1,85.2,52.6,2023-09-03T14:08:24.327,2023-09-03T14:15:37,1.0,"{""id"": 4488156323, ""qualifierId"": 321, ""value"": ""0.09548690915107727""}",4488156323,321,0.09548690915107727,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2586300313,405,13,2,45,52,S. Sommer,77ukg02lmfn6r70xfkw9607op,1,84.6,51.8,2023-09-03T14:08:25.376,2023-09-03T15:12:45,NaN,"{""id"": 4488158043, ""qualifierId"": 321, ""value"": ""0.13349182903766632""}",4488158043,321,0.13349182903766632,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2586320081,511,13,2,60,22,D. Wilkins,5q4p56lg1vjsqo824aql0e1d6,1,88.5,31.9,2023-09-03T14:22:56.102,2023-09-03T14:24:06,1.0,"{""id"": 4488217735, ""qualifierId"": 321, ""value"": ""0.03217068687081337""}",4488217735,321,0.03217068687081337,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Miss,Expected Goals
36g6ifzjliec1jqnbtf7yesme,AaB,2586312197,544,15,2,54,23,Y. Bakiz,bb8q9cgqzw9n2tmkl8s3bth0q,1,84.0,52.4,2023-09-03T14:16:56.987,2023-09-03T14:59:20,1.0,"{""id"": 4488175495, ""qualifierId"": 321, ""value"": ""0.0422125943005085""}",4488175495,321,0.0422125943005085,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Attempt Saved,Expected Goals
36g6ifzjliec1jqnbtf7yesme,AaB,2586321437,600,13,2,61,23,R. Odada,8bfew6mf9m26cj07fq32uf2wa,1,71.8,64.8,2023-09-03T14:23:57.209,2023-09-03T14:25:08,1.0,"{""id"": 4488225139, ""qualifierId"": 321, ""value"": ""0.014332705177366734""}",4488225139,321,0.014332705177366734,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2586340629,606,13,2,74,59,C. Vestergaard,3xz0h3d6r2qgmv9egms8yaz56,1,90.5,49.9,2023-09-03T14:37:33.340,2023-09-03T14:38:57,1.0,"{""id"": 4488327459, ""qualifierId"": 321, ""value"": ""0.020662453025579453""}",4488327459,321,0.020662453025579453,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Miss,Expected Goals
36g6ifzjliec1jqnbtf7yesme,AaB,2586329075,643,13,2,67,4,M. Højholt,eyx42tgneccybvhk8bfhtcaqy,1,95.6,47.3,2023-09-03T14:29:37.572,2023-09-03T15:20:32,1.0,"{""id"": 4488264723, ""qualifierId"": 321, ""value"": ""0.34777718782424927""}",4488264723,321,0.34777718782424927,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2586345999,647,16,2,78,34,A. Beck,dyzzo6n83rg4fpvmqqa69moes,1,84.1,47.2,2023-09-03T14:41:07.817,2023-09-03T14:42:24,1.0,"{""id"": 4488354413, ""qualifierId"": 321, ""value"": ""0.07680531591176987""}",4488354413,321,0.07680531591176987,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Goal,Expected Goals
36g6ifzjliec1jqnbtf7yesme,AaB,2586341715,731,13,2,75,42,T. Prica,3v40cf58jryvu4l4cxu4w9ht6,1,92.4,54.6,2023-09-03T14:38:16.221,2023-09-03T14:39:36,1.0,"{""id"": 4488332337, ""qualifierId"": 321, ""value"": ""0.335094153881073""}",4488332337,321,0.335094153881073,9mok8idtk924ahqppphs4mhhw,AaB vs Kolding,2023-09-03,Miss,Expected Goals
36g6ifzjliec1jqnbtf7yesme,AaB,2657606109,41,13,1,4,18,R. Odada,8bfew6mf9m26cj07fq32uf2wa,1,82.1,84.0,2024-03-10T14:06:22.605,2024-03-10T14:07:42,1.0,"{""id"": 4868879871, ""qualifierId"": 321, ""value"": ""0.02096102014183998""}",4868879871,321,0.02096102014183998,a5yhl7gicnd7onc1lfpedy5n8,AaB vs Vendsyssel,2024-03-10,Miss,Expected Goals
36g6ifzjliec1jqnbtf7yesme,AaB,2657624685,142,15,1,16,41,Y. Bakiz,bb8q9cgqzw9n2tmkl8s3bth0q,1,88.6,70.6,2024-03-10T14:18:45.450,2024-03-10T14:20:03,1.0,"{""id"": 4868977337, ""qualifierId"": 321, ""value"": ""0.020347341895103455""}",4868977337,321,0.020347341895103455,a5yhl7gicnd7onc1lfpedy5n8,AaB vs Vendsyssel,2024-03-10,Attempt Saved,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2657636021,242,13,1,24,41,C. Lange,1w8gujxthv0lfjrn98paa1uga,1,86.6,47.3,2024-03-10T14:26:45.210,2024-03-10T14:28:08,1.0,"{""id"": 4869035389, ""qualifierId"": 321, ""value"": ""0.11870939284563065""}",4869035389,321,0.11870939284563065,a5yhl7gicnd7onc1lfpedy5n8,AaB vs Vendsyssel,2024-03-10,Miss,Expected Goals
36g6ifzjliec1jqnbtf7yesme,AaB,2657654447,314,13,1,40,13,R. Odada,8bfew6mf9m26cj07fq32uf2wa,1,76.9,22.4,2024-03-10T14:42:17.152,2024-03-10T14:43:35,NaN,"{""id"": 4869133969, ""qualifierId"": 321, ""value"": ""0.013345173560082912""}",4869133969,321,0.013345173560082912,a5yhl7gicnd7onc1lfpedy5n8,AaB vs Vendsyssel,2024-03-10,Miss,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2657645535,327,15,1,33,2,C. Lange,1w8gujxthv0lfjrn98paa1uga,1,92.3,44.0,2024-03-10T14:35:05.845,2024-03-10T14:36:34,NaN,"{""id"": 4869086633, ""qualifierId"": 321, ""value"": ""0.12789173424243927""}",4869086633,321,0.12789173424243927,a5yhl7gicnd7onc1lfpedy5n8,AaB vs Vendsyssel,2024-03-10,Attempt Saved,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2657652599,382,16,1,38,50,R. Thellufsen,5hr1cb6e6xb3eyjnau7w4825l,1,91.6,47.4,2024-03-10T14:40:53.712,2024-03-10T14:42:34,1.0,"{""id"": 4869126521, ""qualifierId"": 321, ""value"": ""0.19802579283714294""}",4869126521,321,0.19802579283714294,a5yhl7gicnd7onc1lfpedy5n8,AaB vs Vendsyssel,2024-03-10,Goal,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2657681755,507,16,2,53,17,O. Øhlenschlæger,7j35sfip0xb51mpa91wzikrh0,1,84.9,51.9,2024-03-10T15:13:49.798,2024-03-10T15:15:23,1.0,"{""id"": 4869284559, ""qualifierId"": 321, ""value"": ""0.08873946219682693""}",4869284559,321,0.08873946219682693,a5yhl7gicnd7onc1lfpedy5n8,AaB vs Vendsyssel,2024-03-10,Goal,Expected Goals
36g6ifzjliec1jqnbtf7yesme,AaB,2657709365,661,15,2,79,56,O. Ross,5lz41celw55rz3zh8pohclw5w,1,88.3,64.2,2024-03-10T15:40:28.823,2024-03-10T15:42:47,1.0,"{""id"": 4869443773, ""qualifierId"": 321, ""value"": ""0.11203132569789886""}",4869443773,321,0.11203132569789886,a5yhl7gicnd7onc1lfpedy5n8,AaB vs Vendsyssel,2024-03-10,Attempt Saved,Expected Goals
36g6ifzjliec1jqnbtf7yesme,AaB,2657709669,663,16,2,80,2,M. Jørgensen,1arzd8hqj73byhduozscqz5uy,1,93.0,49.0,2024-03-10T15:40:35.479,2024-03-10T15:42:05,1.0,"{""id"": 4869439537, ""qualifierId"": 321, ""value"": ""0.25284305214881897""}",4869439537,321,0.25284305214881897,a5yhl7gicnd7onc1lfpedy5n8,AaB vs Vendsyssel,2024-03-10,Goal,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2657706753,694,15,2,77,32,O. Buch,y4dl1rer075c9wz6zhx7skbt,1,86.8,66.3,2024-03-10T15:38:04.997,2024-03-10T15:39:30,1.0,"{""id"": 4869424047, ""qualifierId"": 321, ""value"": ""0.09053265303373337""}",4869424047,321,0.09053265303373337,a5yhl7gicnd7onc1lfpedy5n8,AaB vs Vendsyssel,2024-03-10,Attempt Saved,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2657712215,743,13,2,82,38,V. Mpindi,78iynnu6cnznv6fxpo4br4mlm,1,80.4,41.9,2024-03-10T15:43:11.391,2024-03-10T15:44:23,1.0,"{""id"": 4869453361, ""qualifierId"": 321, ""value"": ""0.04344898834824562""}",4869453361,321,0.04344898834824562,a5yhl7gicnd7onc1lfpedy5n8,AaB vs Vendsyssel,2024-03-10,Miss,Expected Goals
36g6ifzjliec1jqnbtf7yesme,AaB,2657721391,757,15,2,91,3,M. Jørgensen,1arzd8hqj73byhduozscqz5uy,1,78.6,49.5,2024-03-10T15:51:36.155,2024-03-10T15:53:12,1.0,"{""id"": 4869506929, ""qualifierId"": 321, ""value"": ""0.05595371127128601""}",4869506929,321,0.05595371127128601,a5yhl7gicnd7onc1lfpedy5n8,AaB vs Vendsyssel,2024-03-10,Attempt Saved,Expected Goals
