contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2671157125,26,15,1,1,8,E. Semovski,8qzac8nxm8nxbckdaisnooutw,1,93.7,69.2,2024-04-12T16:30:47.990,2024-04-12T17:21:01,1.0,"{""id"": 4942040735, ""qualifierId"": 321, ""value"": ""0.03016667068004608""}",4942040735,321,0.03016667068004608,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Attempt Saved,Expected Goals
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2671157209,30,15,1,1,18,C. Jensen,74m58jsznzu8l89b8h7rkh1bd,1,75.2,31.4,2024-04-12T16:30:56.122,2024-04-12T17:31:15,1.0,"{""id"": 4941903349, ""qualifierId"": 321, ""value"": ""0.01223506685346365""}",4941903349,321,0.01223506685346365,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Attempt Saved,Expected Goals
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2671159339,85,15,1,5,56,E. Semovski,8qzac8nxm8nxbckdaisnooutw,1,86.6,26.4,2024-04-12T16:35:34.163,2024-04-15T12:33:18,1.0,"{""id"": 4941915349, ""qualifierId"": 321, ""value"": ""0.03231244534254074""}",4941915349,321,0.03231244534254074,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Attempt Saved,Expected Goals
ajtb177oqwawkdwbqhldmq6mx,B 93,2671161125,92,13,1,9,3,S. Clemmensen,as7qhgi67gngq0nb3zmwg8jro,1,76.5,67.3,2024-04-12T16:38:42.520,2024-04-12T16:39:55,1.0,"{""id"": 4941925007, ""qualifierId"": 321, ""value"": ""0.014776436612010002""}",4941925007,321,0.014776436612010002,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Miss,Expected Goals
ajtb177oqwawkdwbqhldmq6mx,B 93,2671162957,111,15,1,12,32,O. Addo,kqj7nh6pqmqbt0abyyu0fcpg,1,81.6,72.0,2024-04-12T16:42:10.889,2024-04-15T12:33:20,1.0,"{""id"": 4941935261, ""qualifierId"": 321, ""value"": ""0.02296704240143299""}",4941935261,321,0.02296704240143299,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Attempt Saved,Expected Goals
ajtb177oqwawkdwbqhldmq6mx,B 93,2671163307,115,14,1,13,0,J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,1,86.7,38.2,2024-04-12T16:42:38.667,2024-04-12T16:43:51,1.0,"{""id"": 4941937097, ""qualifierId"": 321, ""value"": ""0.0663696750998497""}",4941937097,321,0.0663696750998497,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Post,Expected Goals
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2671164979,158,15,1,15,30,M. Jensen,619s1phj5bkgkug3aszc1y9cl,1,76.3,32.3,2024-04-12T16:45:08.476,2024-04-15T12:33:14,1.0,"{""id"": 4941948041, ""qualifierId"": 321, ""value"": ""0.02149674855172634""}",4941948041,321,0.02149674855172634,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Attempt Saved,Expected Goals
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2671165107,159,16,1,15,34,E. Semovski,8qzac8nxm8nxbckdaisnooutw,1,91.7,59.5,2024-04-12T16:45:12.276,2024-04-15T12:33:16,NaN,"{""id"": 4941946777, ""qualifierId"": 321, ""value"": ""0.7193552851676941""}",4941946777,321,0.7193552851676941,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Goal,Expected Goals
ajtb177oqwawkdwbqhldmq6mx,B 93,2671167789,188,15,1,21,26,J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,1,70.7,41.5,2024-04-12T16:51:04.490,2024-04-12T16:55:11,NaN,"{""id"": 4941963395, ""qualifierId"": 321, ""value"": ""0.014587060548365116""}",4941963395,321,0.014587060548365116,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Attempt Saved,Expected Goals
ajtb177oqwawkdwbqhldmq6mx,B 93,2671168151,198,13,1,21,59,J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,1,93.0,67.7,2024-04-12T16:51:37.442,2024-04-15T12:33:13,1.0,"{""id"": 4941962665, ""qualifierId"": 321, ""value"": ""0.10756757110357285""}",4941962665,321,0.10756757110357285,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Miss,Expected Goals
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2671167617,220,13,1,20,58,D. Bayrak,d2otdesf6fxo0zjmrenoi074k,1,75.8,25.7,2024-04-12T16:50:36.713,2024-04-12T16:51:54,1.0,"{""id"": 4941960037, ""qualifierId"": 321, ""value"": ""0.019923023879528046""}",4941960037,321,0.019923023879528046,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Miss,Expected Goals
ajtb177oqwawkdwbqhldmq6mx,B 93,2671172209,322,16,1,31,38,S. Clemmensen,as7qhgi67gngq0nb3zmwg8jro,1,88.7,54.5,2024-04-12T17:01:16.395,2024-04-12T17:02:46,1.0,"{""id"": 4941983943, ""qualifierId"": 321, ""value"": ""0.09311426430940628""}",4941983943,321,0.09311426430940628,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Goal,Expected Goals
ajtb177oqwawkdwbqhldmq6mx,B 93,2671172555,325,15,1,32,34,J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,1,75.1,38.9,2024-04-12T17:02:13.860,2024-04-12T17:31:09,1.0,"{""id"": 4941985289, ""qualifierId"": 321, ""value"": ""0.024222005158662796""}",4941985289,321,0.024222005158662796,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Attempt Saved,Expected Goals
ajtb177oqwawkdwbqhldmq6mx,B 93,2671173333,339,16,1,33,59,S. Clemmensen,as7qhgi67gngq0nb3zmwg8jro,1,84.8,53.3,2024-04-12T17:03:37.359,2024-04-12T17:04:46,1.0,"{""id"": 4941989065, ""qualifierId"": 321, ""value"": ""0.20800349116325378""}",4941989065,321,0.20800349116325378,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Goal,Expected Goals
ajtb177oqwawkdwbqhldmq6mx,B 93,2671176897,401,15,1,40,21,O. Addo,kqj7nh6pqmqbt0abyyu0fcpg,1,81.9,54.2,2024-04-12T17:09:59.514,2024-04-15T12:33:15,1.0,"{""id"": 4942008183, ""qualifierId"": 321, ""value"": ""0.04116686433553696""}",4942008183,321,0.04116686433553696,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Attempt Saved,Expected Goals
ajtb177oqwawkdwbqhldmq6mx,B 93,2671188481,438,14,2,45,57,S. Clemmensen,as7qhgi67gngq0nb3zmwg8jro,1,80.9,52.3,2024-04-12T17:31:54.785,2024-04-15T12:33:12,1.0,"{""id"": 4942072097, ""qualifierId"": 321, ""value"": ""0.35276246070861816""}",4942072097,321,0.35276246070861816,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Post,Expected Goals
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2671190535,486,15,2,49,28,M. Jensen,619s1phj5bkgkug3aszc1y9cl,1,74.9,50.3,2024-04-12T17:35:26.860,2024-04-12T17:36:36,1.0,"{""id"": 4942083207, ""qualifierId"": 321, ""value"": ""0.03062170185148716""}",4942083207,321,0.03062170185148716,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Attempt Saved,Expected Goals
ajtb177oqwawkdwbqhldmq6mx,B 93,2671192555,496,13,2,52,44,S. Clemmensen,as7qhgi67gngq0nb3zmwg8jro,1,80.4,27.0,2024-04-12T17:38:41.989,2024-04-12T17:39:54,1.0,"{""id"": 4942094605, ""qualifierId"": 321, ""value"": ""0.019037440419197083""}",4942094605,321,0.019037440419197083,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Miss,Expected Goals
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2671194101,533,16,2,55,19,E. Semovski,8qzac8nxm8nxbckdaisnooutw,1,87.4,66.8,2024-04-12T17:41:16.307,2024-04-15T13:31:02,1.0,"{""id"": 4942104845, ""qualifierId"": 321, ""value"": ""0.17551352083683014""}",4942104845,321,0.17551352083683014,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Goal,Expected Goals
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2671198335,554,15,2,61,44,C. Jensen,74m58jsznzu8l89b8h7rkh1bd,1,76.8,52.2,2024-04-12T17:47:41.401,2024-04-12T17:48:51,NaN,"{""id"": 4942126141, ""qualifierId"": 321, ""value"": ""0.036682385951280594""}",4942126141,321,0.036682385951280594,53l3oi52lqul7p6xt1ud7nris,HB Køge vs B 93,2024-04-12,Attempt Saved,Expected Goals
