contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
6wwwud48qahpwrfxs20334qk5,Fredericia,2584804051,37,15,1,3,22,F. Carstensen,2of6xfvdgpsrqehwxrc39kcq2,1,78.2,52.7,2023-09-01T17:04:28.837,2023-09-01T17:05:42,"{""id"": 4480115811, ""qualifierId"": 321, ""value"": ""0.05510225519537926""}",NaN,4480115811,321,0.05510225519537926,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Attempt Saved,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2584807631,117,13,1,10,8,L. Jensen,139g7ilwvcpl519v3scnweg2d,1,93.0,53.3,2023-09-01T17:11:15.168,2023-09-01T17:12:35,"{""id"": 4480134655, ""qualifierId"": 321, ""value"": ""0.11947187781333923""}",1.0,4480134655,321,0.11947187781333923,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Miss,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2584809027,149,13,1,12,25,O. Øhlenschlæger,7j35sfip0xb51mpa91wzikrh0,1,92.1,38.5,2023-09-01T17:13:32.480,2023-09-01T17:16:45,"{""id"": 4480141493, ""qualifierId"": 321, ""value"": ""0.0390157587826252""}",1.0,4480141493,321,0.0390157587826252,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Miss,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2584811965,176,13,1,17,18,G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,1,95.0,53.2,2023-09-01T17:18:24.844,2023-09-01T19:25:49,"{""id"": 4480156293, ""qualifierId"": 321, ""value"": ""0.2797154188156128""}",1.0,4480156293,321,0.2797154188156128,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Miss,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2584811663,182,15,1,16,48,C. Lange,1w8gujxthv0lfjrn98paa1uga,1,77.3,67.9,2023-09-01T17:17:55.511,2023-09-01T17:19:06,"{""id"": 4480154589, ""qualifierId"": 321, ""value"": ""0.02247702330350876""}",1.0,4480154589,321,0.02247702330350876,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Attempt Saved,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2584812861,204,15,1,19,0,C. Lange,1w8gujxthv0lfjrn98paa1uga,1,86.1,72.7,2023-09-01T17:20:07.157,2023-09-01T17:21:24,"{""id"": 4480161253, ""qualifierId"": 321, ""value"": ""0.02820703759789467""}",1.0,4480161253,321,0.02820703759789467,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Attempt Saved,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2584815125,222,13,1,23,9,G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,1,83.8,33.0,2023-09-01T17:24:15.917,2023-09-01T17:25:58,"{""id"": 4480173661, ""qualifierId"": 321, ""value"": ""0.033601488918066025""}",1.0,4480173661,321,0.033601488918066025,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Miss,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2584815847,240,13,1,24,59,A. Jakobsen,hm7w2b4a6j0q3bprq118r5uy,1,50.9,26.0,2023-09-01T17:26:05.689,2023-09-01T17:27:21,"{""id"": 4480178139, ""qualifierId"": 321, ""value"": ""0.008064894005656242""}",NaN,4480178139,321,0.008064894005656242,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Miss,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2584818437,349,15,1,30,40,O. Jebali,18vvlxsaoloypja4fdddj687o,1,66.1,68.2,2023-09-01T17:31:47.506,2023-09-01T19:25:47,"{""id"": 4480204323, ""qualifierId"": 321, ""value"": ""0.016079094260931015""}",NaN,4480204323,321,0.016079094260931015,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Attempt Saved,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2584818445,350,15,1,30,42,L. Steffensen,9l89n30nejpn2u22ygvchwnze,1,79.8,56.3,2023-09-01T17:31:49.100,2023-09-01T17:32:58,"{""id"": 4480192513, ""qualifierId"": 321, ""value"": ""0.06453514099121094""}",1.0,4480192513,321,0.06453514099121094,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Attempt Saved,Expected Goals
