contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656116985,77,16,1,7,53,I. Tånnander,6bajck5osvj7trnwt2a5mc3dg,1,94.2,50.6,2024-03-08T18:07:21.800,2024-03-08T18:08:52,1.0,"{""id"": 4860866247, ""qualifierId"": 321, ""value"": ""0.3666638731956482""}",4860866247,321,0.3666638731956482,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Goal,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656132673,213,13,1,28,54,M. Kristensen,932yrcg5whf7qk0o70cx5n88a,1,85.6,44.6,2024-03-08T18:28:22.318,2024-03-08T18:29:43,1.0,"{""id"": 4860948659, ""qualifierId"": 321, ""value"": ""0.1435101479291916""}",4860948659,321,0.1435101479291916,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656135921,261,14,1,34,33,I. Tånnander,6bajck5osvj7trnwt2a5mc3dg,1,91.4,46.6,2024-03-08T18:34:01.274,2024-03-08T18:35:28,1.0,"{""id"": 4860967681, ""qualifierId"": 321, ""value"": ""0.07674705982208252""}",4860967681,321,0.07674705982208252,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Post,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656165935,431,13,2,48,40,M. Kristensen,932yrcg5whf7qk0o70cx5n88a,1,90.9,48.7,2024-03-08T19:08:09.945,2024-03-08T19:09:28,1.0,"{""id"": 4861121747, ""qualifierId"": 321, ""value"": ""0.08594308793544769""}",4861121747,321,0.08594308793544769,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Miss,Expected Goals
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2656143255,456,15,1,43,27,Y. Agnero,8uzx6yb66zjn0ke2rwqlg7wus,1,72.9,54.6,2024-03-08T18:42:54.774,2024-03-08T18:44:14,1.0,"{""id"": 4861007279, ""qualifierId"": 321, ""value"": ""0.013226032257080078""}",4861007279,321,0.013226032257080078,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656176873,522,13,2,56,15,I. Tånnander,6bajck5osvj7trnwt2a5mc3dg,1,90.2,47.8,2024-03-08T19:15:44.171,2024-03-11T19:58:48,1.0,"{""id"": 4872925081, ""qualifierId"": 321, ""value"": ""0.0893""}",4872925081,321,0.0893,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Miss,Expected Goals
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2656161869,529,15,2,45,26,L. Carlius,8rca5ubs4sceptlozciq296cq,1,79.9,50.3,2024-03-08T19:04:55.922,2024-03-08T20:08:53,NaN,"{""id"": 4861099937, ""qualifierId"": 321, ""value"": ""0.05719469115138054""}",4861099937,321,0.05719469115138054,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656178679,544,15,2,58,53,A. Nørager,8ewvm6ux4yvpwgrzjkc1chqwa,1,75.4,57.5,2024-03-08T19:18:22.252,2024-03-08T19:20:02,1.0,"{""id"": 4861193539, ""qualifierId"": 321, ""value"": ""0.024912722408771515""}",4861193539,321,0.024912722408771515,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656183649,582,13,2,62,29,A. Njai,f1ba9g771s0zeel0titcj3omi,1,95.8,41.9,2024-03-08T19:21:58.995,2024-03-08T19:23:28,1.0,"{""id"": 4861216903, ""qualifierId"": 321, ""value"": ""0.08947917073965073""}",4861216903,321,0.08947917073965073,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656206401,771,15,2,81,39,M. Vestergård,f58yr2jmfp8kpgprfxbokt1t6,1,88.7,44.0,2024-03-08T19:41:08.893,2024-03-08T19:44:54,1.0,"{""id"": 4861343713, ""qualifierId"": 321, ""value"": ""0.18694481253623962""}",4861343713,321,0.18694481253623962,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656207867,778,15,2,83,0,T. Mikkelsen,3l0wq19mq865qi29ndtb0axn9,1,85.9,29.5,2024-03-08T19:42:29.985,2024-03-08T19:45:57,1.0,"{""id"": 4861350343, ""qualifierId"": 321, ""value"": ""0.028300009667873383""}",4861350343,321,0.028300009667873383,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656211767,805,13,2,86,16,T. Mikkelsen,3l0wq19mq865qi29ndtb0axn9,1,86.7,51.3,2024-03-08T19:45:45.520,2024-03-08T19:50:54,1.0,"{""id"": 4861397089, ""qualifierId"": 321, ""value"": ""0.051253098994493484""}",4861397089,321,0.051253098994493484,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656217683,855,13,2,91,10,P. Ngongo,1nn1wc14k9zd3wtu73loj7kes,1,90.8,48.5,2024-03-08T19:50:39.608,2024-03-08T19:52:12,1.0,"{""id"": 4861404121, ""qualifierId"": 321, ""value"": ""0.20497123897075653""}",4861404121,321,0.20497123897075653,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656221015,880,13,2,95,1,A. Njai,f1ba9g771s0zeel0titcj3omi,1,78.7,33.4,2024-03-08T19:54:30.832,2024-03-08T19:55:44,1.0,"{""id"": 4861420505, ""qualifierId"": 321, ""value"": ""0.02374809794127941""}",4861420505,321,0.02374809794127941,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Miss,Expected Goals
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2586176207,19,15,1,1,34,O. Drost,1n4t6k5k2on5iihoc59brxi3t,1,91.9,31.0,2023-09-03T12:02:40.777,2023-09-03T13:07:07,1.0,"{""id"": 4487464891, ""qualifierId"": 321, ""value"": ""0.03548484668135643""}",4487464891,321,0.03548484668135643,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Attempt Saved,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2586188329,154,15,1,14,45,L. Skjellerup,iygkwt0uv3gt899wmlbwc296,1,90.9,50.1,2023-09-03T12:15:51.345,2023-09-03T14:21:05,1.0,"{""id"": 4487529001, ""qualifierId"": 321, ""value"": ""0.09923018515110016""}",4487529001,321,0.09923018515110016,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Attempt Saved,Expected Goals
