contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2649635489,60,15,1,4,56,A. Justinussen,uiyol728wan4mxco2foplknp,1,91.0,66.9,2024-02-23T18:03:09.810,2024-02-23T18:04:21,1.0,"{""id"": 4825947871, ""qualifierId"": 321, ""value"": ""0.07282920926809311""}",4825947871,321,0.07282920926809311,a3netsad8ijzedu07lcml93bo,Vendsyssel vs Hillerød,2024-02-23,Attempt Saved,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2649639121,103,13,1,10,22,O. Øhlenschlæger,7j35sfip0xb51mpa91wzikrh0,1,88.2,34.4,2024-02-23T18:08:35.644,2024-02-23T18:09:45,1.0,"{""id"": 4825965815, ""qualifierId"": 321, ""value"": ""0.11482680588960648""}",4825965815,321,0.11482680588960648,a3netsad8ijzedu07lcml93bo,Vendsyssel vs Hillerød,2024-02-23,Miss,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2649642337,158,16,1,14,47,C. Lange,1w8gujxthv0lfjrn98paa1uga,1,85.2,60.4,2024-02-23T18:13:00.816,2024-02-23T18:14:17,1.0,"{""id"": 4825981175, ""qualifierId"": 321, ""value"": ""0.46924030780792236""}",4825981175,321,0.46924030780792236,a3netsad8ijzedu07lcml93bo,Vendsyssel vs Hillerød,2024-02-23,Goal,Expected Goals
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2649647645,278,13,1,23,24,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,87.6,26.7,2024-02-23T18:21:37.762,2024-02-23T18:22:48,1.0,"{""id"": 4826009743, ""qualifierId"": 321, ""value"": ""0.026049675419926643""}",4826009743,321,0.026049675419926643,a3netsad8ijzedu07lcml93bo,Vendsyssel vs Hillerød,2024-02-23,Miss,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2649658785,372,15,1,41,13,F. Børsting,egwhlgopjtjkop7ozy7ltk1cl,1,92.3,67.7,2024-02-23T18:39:26.517,2024-02-23T18:40:39,NaN,"{""id"": 4826071943, ""qualifierId"": 321, ""value"": ""0.07487722486257553""}",4826071943,321,0.07487722486257553,a3netsad8ijzedu07lcml93bo,Vendsyssel vs Hillerød,2024-02-23,Attempt Saved,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2649672753,457,13,2,47,52,V. Mpindi,78iynnu6cnznv6fxpo4br4mlm,1,79.2,43.8,2024-02-23T19:02:27.594,2024-02-23T19:03:38,1.0,"{""id"": 4826143681, ""qualifierId"": 321, ""value"": ""0.047137875109910965""}",4826143681,321,0.047137875109910965,a3netsad8ijzedu07lcml93bo,Vendsyssel vs Hillerød,2024-02-23,Miss,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2649676341,503,16,2,51,36,L. Jensen,139g7ilwvcpl519v3scnweg2d,1,95.6,45.7,2024-02-23T19:06:11.522,2024-02-23T19:07:26,NaN,"{""id"": 4826163389, ""qualifierId"": 321, ""value"": ""0.30638641119003296""}",4826163389,321,0.30638641119003296,a3netsad8ijzedu07lcml93bo,Vendsyssel vs Hillerød,2024-02-23,Goal,Expected Goals
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2649659829,515,16,1,42,32,M. Bay,bop31qof3lon7u6rvmb68ktzp,1,91.6,44.6,2024-02-23T18:40:45.798,2024-02-23T18:42:25,1.0,"{""id"": 4826079151, ""qualifierId"": 321, ""value"": ""0.10680685937404633""}",4826079151,321,0.10680685937404633,a3netsad8ijzedu07lcml93bo,Vendsyssel vs Hillerød,2024-02-23,Goal,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2649683059,564,15,2,59,6,M. Haarup,6t6k24gn6zwxz1g6c3n4ph0q,1,93.4,34.7,2024-02-23T19:13:41.417,2024-02-23T19:14:49,1.0,"{""id"": 4826200237, ""qualifierId"": 321, ""value"": ""0.1162276640534401""}",4826200237,321,0.1162276640534401,a3netsad8ijzedu07lcml93bo,Vendsyssel vs Hillerød,2024-02-23,Attempt Saved,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2649690403,618,15,2,67,48,L. Jensen,139g7ilwvcpl519v3scnweg2d,1,93.9,33.6,2024-02-23T19:22:23.810,2024-02-23T19:23:33,1.0,"{""id"": 4826239131, ""qualifierId"": 321, ""value"": ""0.19308160245418549""}",4826239131,321,0.19308160245418549,a3netsad8ijzedu07lcml93bo,Vendsyssel vs Hillerød,2024-02-23,Attempt Saved,Expected Goals
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2649678803,640,16,2,54,9,A. Justinussen,uiyol728wan4mxco2foplknp,1,79.1,53.8,2024-02-23T19:08:44.634,2024-02-23T19:10:34,1.0,"{""id"": 4826179463, ""qualifierId"": 321, ""value"": ""0.04116096347570419""}",4826179463,321,0.04116096347570419,a3netsad8ijzedu07lcml93bo,Vendsyssel vs Hillerød,2024-02-23,Goal,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2649695495,657,15,2,74,40,C. Lange,1w8gujxthv0lfjrn98paa1uga,1,78.5,72.4,2024-02-23T19:29:14.791,2024-02-23T19:30:32,1.0,"{""id"": 4826266869, ""qualifierId"": 321, ""value"": ""0.019662337377667427""}",4826266869,321,0.019662337377667427,a3netsad8ijzedu07lcml93bo,Vendsyssel vs Hillerød,2024-02-23,Attempt Saved,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2649696221,667,15,2,75,43,L. Steffensen,9l89n30nejpn2u22ygvchwnze,1,87.0,68.1,2024-02-23T19:30:17.920,2024-02-23T19:31:33,1.0,"{""id"": 4826270975, ""qualifierId"": 321, ""value"": ""0.028235414996743202""}",4826270975,321,0.028235414996743202,a3netsad8ijzedu07lcml93bo,Vendsyssel vs Hillerød,2024-02-23,Attempt Saved,Expected Goals
