contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2667692899,93,13,1,8,43,A. Justinussen,uiyol728wan4mxco2foplknp,1,69.5,60.9,2024-04-05T17:08:45.569,2024-04-08T14:29:44,1.0,"{""id"": 4923280545, ""qualifierId"": 321, ""value"": ""0.01174131315201521""}",4923280545,321,0.01174131315201521,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Miss,Expected Goals
a9vw7ikerpr4cuweeeka5aneg,Horsens,2667694791,112,13,1,12,14,S. Becher,2xewnia49fvj3u2x3y8tfq2ju,1,78.5,48.5,2024-04-05T17:12:16.510,2024-04-08T15:30:08,1.0,"{""id"": 4923290305, ""qualifierId"": 321, ""value"": ""0.04210149496793747""}",4923290305,321,0.04210149496793747,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Miss,Expected Goals
a9vw7ikerpr4cuweeeka5aneg,Horsens,2667695095,118,16,1,12,49,S. Becher,2xewnia49fvj3u2x3y8tfq2ju,1,90.3,42.5,2024-04-05T17:12:51.480,2024-04-08T15:30:08,1.0,"{""id"": 4923292387, ""qualifierId"": 321, ""value"": ""0.3743177652359009""}",4923292387,321,0.3743177652359009,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Goal,Expected Goals
a9vw7ikerpr4cuweeeka5aneg,Horsens,2667702215,222,13,1,28,59,A. Saine,7353ysa16qgg30b9z5qiagys4,1,73.7,33.8,2024-04-05T17:29:01.790,2024-04-08T15:30:05,1.0,"{""id"": 4923331963, ""qualifierId"": 321, ""value"": ""0.01678272895514965""}",4923331963,321,0.01678272895514965,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Miss,Expected Goals
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2667699269,284,13,1,21,29,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,86.0,46.3,2024-04-05T17:21:31.287,2024-04-08T15:30:06,1.0,"{""id"": 4923314737, ""qualifierId"": 321, ""value"": ""0.12407218664884567""}",4923314737,321,0.12407218664884567,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Miss,Expected Goals
a9vw7ikerpr4cuweeeka5aneg,Horsens,2667708703,312,15,1,42,7,S. Becher,2xewnia49fvj3u2x3y8tfq2ju,1,95.5,67.5,2024-04-05T17:42:09.773,2024-04-08T16:30:06,1.0,"{""id"": 4923366727, ""qualifierId"": 321, ""value"": ""0.20724709331989288""}",4923366727,321,0.20724709331989288,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Attempt Saved,Expected Goals
a9vw7ikerpr4cuweeeka5aneg,Horsens,2667728953,461,15,2,60,15,J. Beluli,29y19vqfjkvlc8s9gr5v5atqs,1,73.6,47.0,2024-04-05T18:17:09.363,2024-04-05T18:18:22,1.0,"{""id"": 4923475253, ""qualifierId"": 321, ""value"": ""0.01654924266040325""}",4923475253,321,0.01654924266040325,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Attempt Saved,Expected Goals
a9vw7ikerpr4cuweeeka5aneg,Horsens,2667733189,509,13,2,65,23,A. Saine,7353ysa16qgg30b9z5qiagys4,1,81.9,60.8,2024-04-05T18:22:16.883,2024-04-05T18:23:35,1.0,"{""id"": 4923497097, ""qualifierId"": 321, ""value"": ""0.044208843261003494""}",4923497097,321,0.044208843261003494,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Miss,Expected Goals
a9vw7ikerpr4cuweeeka5aneg,Horsens,2667747327,621,13,2,81,53,J. Beluli,29y19vqfjkvlc8s9gr5v5atqs,1,77.7,69.9,2024-04-05T18:38:47.163,2024-04-05T18:41:01,NaN,"{""id"": 4923569881, ""qualifierId"": 321, ""value"": ""0.017672935500741005""}",4923569881,321,0.017672935500741005,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Miss,Expected Goals
a9vw7ikerpr4cuweeeka5aneg,Horsens,2667748439,630,15,2,82,54,J. Beluli,29y19vqfjkvlc8s9gr5v5atqs,1,85.7,30.6,2024-04-05T18:39:48.300,2024-04-05T18:41:04,1.0,"{""id"": 4923575627, ""qualifierId"": 321, ""value"": ""0.03824358060956001""}",4923575627,321,0.03824358060956001,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Attempt Saved,Expected Goals
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2667719447,674,13,2,47,39,M. Julø,3bf4r3xgrs0ttlhgzb93as5t6,1,81.8,49.9,2024-04-05T18:04:32.419,2024-04-08T16:30:05,1.0,"{""id"": 4923424495, ""qualifierId"": 321, ""value"": ""0.04258055239915848""}",4923424495,321,0.04258055239915848,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Miss,Expected Goals
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2667721317,702,15,2,50,2,M. Julø,3bf4r3xgrs0ttlhgzb93as5t6,1,90.5,28.4,2024-04-05T18:06:56.269,2024-04-08T16:30:01,1.0,"{""id"": 4923438261, ""qualifierId"": 321, ""value"": ""0.019270339980721474""}",4923438261,321,0.019270339980721474,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Attempt Saved,Expected Goals
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2667721353,703,13,2,50,6,A. Justinussen,uiyol728wan4mxco2foplknp,1,88.2,63.6,2024-04-05T18:07:00.356,2024-04-08T16:29:57,NaN,"{""id"": 4923438955, ""qualifierId"": 321, ""value"": ""0.04638831689953804""}",4923438955,321,0.04638831689953804,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Miss,Expected Goals
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2667727961,803,15,2,59,8,T. Arndal,1n4eldqa7h9jvcx1693zqu06i,1,86.0,35.1,2024-04-05T18:16:01.664,2024-04-08T16:29:58,1.0,"{""id"": 4923472969, ""qualifierId"": 321, ""value"": ""0.05133850872516632""}",4923472969,321,0.05133850872516632,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Attempt Saved,Expected Goals
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2667728307,808,13,2,59,28,G. Arndal-Lauritzen,5i6n6yne6fh410vk7p7kkokmi,1,69.5,57.5,2024-04-05T18:16:21.953,2024-04-08T16:30,1.0,"{""id"": 4923471561, ""qualifierId"": 321, ""value"": ""0.011548293754458427""}",4923471561,321,0.011548293754458427,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Miss,Expected Goals
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2667735455,896,15,2,68,23,M. Julø,3bf4r3xgrs0ttlhgzb93as5t6,1,92.4,45.2,2024-04-05T18:25:16.641,2024-04-05T18:26:54,1.0,"{""id"": 4923509851, ""qualifierId"": 321, ""value"": ""0.33087658882141113""}",4923509851,321,0.33087658882141113,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Attempt Saved,Expected Goals
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2667740319,979,15,2,74,50,M. Bruhn,8gqvlydur0v4cpmz1ozqkejh0,1,81.6,51.6,2024-04-05T18:31:43.632,2024-04-05T18:35:18,1.0,"{""id"": 4923545557, ""qualifierId"": 321, ""value"": ""0.04490213468670845""}",4923545557,321,0.04490213468670845,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Attempt Saved,Expected Goals
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2667740497,983,14,2,75,1,M. Julø,3bf4r3xgrs0ttlhgzb93as5t6,1,92.1,46.4,2024-04-05T18:31:55.376,2024-04-05T18:33:11,1.0,"{""id"": 4923534283, ""qualifierId"": 321, ""value"": ""0.12032667547464371""}",4923534283,321,0.12032667547464371,52ha115qmogrbxyc0i3ngtwk4,Horsens vs Hillerød,2024-04-05,Post,Expected Goals
