contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625301581,21,15,1,1,1,M. Kristensen,932yrcg5whf7qk0o70cx5n88a,1,90.6,51.3,2023-12-05T17:30:39.649,2023-12-07T04:29:23,"{""id"": 4696561305, ""qualifierId"": 321, ""value"": ""0.08977683633565903""}",NaN,4696561305,321,0.08977683633565903,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625303799,77,13,1,6,5,S. Sommer,77ukg02lmfn6r70xfkw9607op,1,98.5,61.4,2023-12-05T17:35:44.584,2023-12-07T04:29:24,"{""id"": 4696574107, ""qualifierId"": 321, ""value"": ""0.031288597732782364""}",1.0,4696574107,321,0.031288597732782364,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625305899,124,15,1,10,54,P. Ngongo,1nn1wc14k9zd3wtu73loj7kes,1,93.0,65.2,2023-12-05T17:40:33.158,2023-12-07T05:29:44,"{""id"": 4696586193, ""qualifierId"": 321, ""value"": ""0.10668125003576279""}",1.0,4696586193,321,0.10668125003576279,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625306737,138,15,1,13,14,D. Wilkins,5q4p56lg1vjsqo824aql0e1d6,1,73.9,38.8,2023-12-05T17:42:53.486,2023-12-07T05:29:41,"{""id"": 4696591135, ""qualifierId"": 321, ""value"": ""0.04264753311872482""}",1.0,4696591135,321,0.04264753311872482,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625308841,169,15,1,18,27,M. Kristensen,932yrcg5whf7qk0o70cx5n88a,1,91.5,45.5,2023-12-05T17:48:05.676,2023-12-07T05:29:33,"{""id"": 4696603129, ""qualifierId"": 321, ""value"": ""0.06479143351316452""}",1.0,4696603129,321,0.06479143351316452,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
ajtb177oqwawkdwbqhldmq6mx,B 93,2625307217,171,15,1,14,23,D. Thøgersen,bvc80w5ai425plu54nhgx5fxl,1,85.0,93.8,2023-12-05T17:44:02.210,2023-12-05T17:47:21,"{""id"": 4696598855, ""qualifierId"": 321, ""value"": ""0.009039001539349556""}",1.0,4696598855,321,0.009039001539349556,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625310877,228,13,1,24,50,M. Kristensen,932yrcg5whf7qk0o70cx5n88a,1,92.5,42.2,2023-12-05T17:54:29.474,2023-12-05T17:55:47,"{""id"": 4696614375, ""qualifierId"": 321, ""value"": ""0.05202832072973251""}",1.0,4696614375,321,0.05202832072973251,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625311239,246,15,1,26,3,D. Wilkins,5q4p56lg1vjsqo824aql0e1d6,1,84.7,64.2,2023-12-05T17:55:42.547,2023-12-07T05:29:39,"{""id"": 4696618749, ""qualifierId"": 321, ""value"": ""0.05547967180609703""}",1.0,4696618749,321,0.05547967180609703,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625311845,270,15,1,26,6,D. Wilkins,5q4p56lg1vjsqo824aql0e1d6,1,89.8,64.9,2023-12-05T17:55:45.371,2023-12-07T05:29:36,"{""id"": 4696619787, ""qualifierId"": 321, ""value"": ""0.04542318731546402""}",NaN,4696619787,321,0.04542318731546402,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2625312277,283,15,1,30,31,D. Wilkins,5q4p56lg1vjsqo824aql0e1d6,1,85.8,23.6,2023-12-05T18:00:09.977,2023-12-07T05:29:34,"{""id"": 4696622289, ""qualifierId"": 321, ""value"": ""0.028105290606617928""}",1.0,4696622289,321,0.028105290606617928,a2598ebv828p43i6facxo1t78,Kolding vs B 93,2023-12-05,Attempt Saved,Expected Goals
