contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
b2vft81kyjurzbmekvgrqwr64,Hobro,2668082867,96,15,1,9,6,F. Mortensen,1xcf8y3egy8j0g2c6xkcx6o6h,1,78.5,59.4,2024-04-06T12:12:10.201,2024-04-06T12:16:16,1.0,"{""id"": 4925374135, ""qualifierId"": 321, ""value"": ""0.04160558059811592""}",4925374135,321,0.04160558059811592,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2668082321,102,15,1,8,25,I. Nikolov,bh06w40pwo6dy3cjrw3r2i0ru,1,88.3,46.4,2024-04-06T12:11:29.492,2024-04-09T11:29:30,NaN,"{""id"": 4925356051, ""qualifierId"": 321, ""value"": ""0.08213674277067184""}",4925356051,321,0.08213674277067184,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2668094035,194,15,1,20,48,J. Gallegos,6gh4z3yubnpypzoakjom1rj3e,1,77.9,56.3,2024-04-06T12:23:52.373,2024-04-06T12:26:45,1.0,"{""id"": 4925424307, ""qualifierId"": 321, ""value"": ""0.02471279911696911""}",4925424307,321,0.02471279911696911,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Attempt Saved,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2668095981,220,15,1,23,41,R. Gyamfi,efubck8twu1elbhlomltnjjtg,1,82.4,42.8,2024-04-06T12:26:45.107,2024-04-06T12:27:58,1.0,"{""id"": 4925428749, ""qualifierId"": 321, ""value"": ""0.07921701669692993""}",4925428749,321,0.07921701669692993,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2668097219,239,13,1,25,34,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,1,87.0,64.9,2024-04-06T12:28:37.784,2024-04-06T12:29:58,1.0,"{""id"": 4925436803, ""qualifierId"": 321, ""value"": ""0.03754841536283493""}",4925436803,321,0.03754841536283493,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Miss,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2668107681,329,13,1,39,35,V. Rasmussen,dwuxps3jv2852642q000wep6,1,74.0,62.6,2024-04-06T12:42:38.813,2024-04-09T12:34:36,1.0,"{""id"": 4925495685, ""qualifierId"": 321, ""value"": ""0.02639966458082199""}",4925495685,321,0.02639966458082199,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Miss,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2668113701,380,15,1,46,52,L. Klitten,ea2x4o6ufsqoz2zz7tqcnvo16,1,80.7,49.6,2024-04-06T12:49:56.169,2024-04-06T12:51:13,NaN,"{""id"": 4925528861, ""qualifierId"": 321, ""value"": ""0.039279963821172714""}",4925528861,321,0.039279963821172714,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Attempt Saved,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2668114187,387,15,1,47,48,M. Freundlich,cuufy3ioo1kio56er2cfn0mqc,1,70.3,63.4,2024-04-06T12:50:52.635,2024-04-06T12:52:13,1.0,"{""id"": 4925532061, ""qualifierId"": 321, ""value"": ""0.011790409684181213""}",4925532061,321,0.011790409684181213,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2668135851,517,13,2,52,6,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,1,90.4,65.1,2024-04-06T13:14:18.328,2024-04-09T13:30:45,1.0,"{""id"": 4925642251, ""qualifierId"": 321, ""value"": ""0.07214275002479553""}",4925642251,321,0.07214275002479553,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Miss,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2668143165,568,16,2,58,35,S. Emini,5x8064b3yr7txk0czddfjtffu,1,93.3,33.0,2024-04-06T13:20:48.100,2024-04-09T13:30:46,1.0,"{""id"": 4925684611, ""qualifierId"": 321, ""value"": ""0.3362068831920624""}",4925684611,321,0.3362068831920624,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Goal,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2668150913,605,13,2,66,3,F. Christensen,9b89pmcjk6re94bjp0ixeatjo,1,86.4,49.9,2024-04-06T13:28:15.652,2024-04-06T13:29:36,1.0,"{""id"": 4925724321, ""qualifierId"": 321, ""value"": ""0.02080012857913971""}",4925724321,321,0.02080012857913971,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Miss,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2668166927,705,13,2,80,25,T. Klysner,d88feog3dgv09oxbzn15xqesq,1,95.5,73.7,2024-04-06T13:42:37.699,2024-04-09T14:30:52,1.0,"{""id"": 4925808693, ""qualifierId"": 321, ""value"": ""0.10116831213235855""}",4925808693,321,0.10116831213235855,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Miss,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2668161873,731,15,2,75,58,F. Christensen,9b89pmcjk6re94bjp0ixeatjo,1,88.1,51.5,2024-04-06T13:38:11.197,2024-04-06T13:39:25,1.0,"{""id"": 4925782413, ""qualifierId"": 321, ""value"": ""0.029978469014167786""}",4925782413,321,0.029978469014167786,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2668177253,766,15,2,90,30,T. Klysner,d88feog3dgv09oxbzn15xqesq,1,90.1,32.8,2024-04-06T13:52:42.625,2024-04-09T15:14:43,1.0,"{""id"": 4925862753, ""qualifierId"": 321, ""value"": ""0.14205095171928406""}",4925862753,321,0.14205095171928406,d0vpglmupus8wd73qc4nyya6s,SønderjyskE vs Hobro,2024-04-06,Attempt Saved,Expected Goals
