id,firstName,lastName,shortFirstName,shortLastName,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,knownName,placeOfBirth,secondNationality,secondNationalityId
1dy0207jxgg8gvuygsd95wdn8,David,Kjær Kruse,David,Kruse,D. Kruse,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2002-05-15,Denmark,5adf60vwiw2f2mibyq1k4ex7i,185.0,80.0,right,23.0,active,no,,,,
1pburqlek8mrltnblrvucehw4,Mathias,Frederiksen,,,M. Frederiksen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,,Denmark,5adf60vwiw2f2mibyq1k4ex7i,,,,,active,yes,,,,
1vvyuyj2q6w73vf9uhbldti7e,Edmilson,Gomes dos Santos,Edmilson,Gomes dos Santos,Edmílson dos Santos,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,Midfielder,player,2000-03-20,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,177.0,,right,16.0,active,no,Edmilson dos Santos,Bissau,,
23qknnqc6885diyi50phjss7p,Albert,Ejupi,Albert,Ejupi,A. Ejupi,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,1992-08-28,Sweden,1z6l2c33w2kyz9rdefs1d68nb,191.0,85.0,,8.0,active,no,,Stockholm,,
266me3mc2giq9nnwn7ymkmymt,Aron,Sigurðarson,Aron,Sigurdarson,A. Sigurðarson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,1993-10-08,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,177.0,70.0,right,11.0,active,no,,Reykjavík,,
29y19vqfjkvlc8s9gr5v5atqs,Jashar,Beluli,Jashar,Beluli,J. Beluli,Albania,17zsm8shejejls2on1ffil3op,Midfielder,player,2004-06-07,Denmark,5adf60vwiw2f2mibyq1k4ex7i,180.0,70.0,left,29.0,active,yes,,Aabenraa,,
2p9y93r7xfjb71d1bfckcs53p,Oliver,Stanisic,Oliver,Stanisic,O. Stanisic,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1994-02-10,Sweden,1z6l2c33w2kyz9rdefs1d68nb,192.0,,right,2.0,active,yes,,,,
2xewnia49fvj3u2x3y8tfq2ju,Simon Michael,Becher,Simon,Becher,S. Becher,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1999-07-20,USA,7hr2f89v44y65dyu9k92vprwn,185.0,85.0,,11.0,active,yes,,,,
32wmgvj3oe28rnxn22727tpn8,Claus,Troelsen,,,C. Troelsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,,coach,1976-05-14,Denmark,5adf60vwiw2f2mibyq1k4ex7i,,,,,active,yes,,,,
3bxz0cn0chwqvs1114ectrrsa,Frederik Emil,Hedegaard Heiselberg,Frederik,Heiselberg,F. Heiselberg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2003-02-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,191.0,,left,10.0,active,yes,,Lyne,,
436ydggem13x5kamueivijmdw,Oliver,Bjerregaard,,,O. Bjerregaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,,Denmark,5adf60vwiw2f2mibyq1k4ex7i,,,,31.0,active,yes,,,,
4bkqvwlmbwul0s8lbbq6mifp,Søren,Reese,Søren,Reese,S. Reese,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1993-07-29,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,71.0,left,20.0,active,yes,,Ingstrup,,
4i0jiisff5k1efcgf27skpqfo,Frederik,Roslyng,Frederik,Roslyng,F. Roslyng,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2005-01-10,Denmark,5adf60vwiw2f2mibyq1k4ex7i,,,,34.0,active,yes,,,,
4m3slt6iikaxklqd12i719rl5,Moses,Opondo,Moses,Opondo,M. Opondo,Uganda,1j6yonplolalz6goyopv7xd1k,Midfielder,player,1997-10-28,Uganda,1j6yonplolalz6goyopv7xd1k,174.0,72.0,right,6.0,active,yes,,,Denmark,5adf60vwiw2f2mibyq1k4ex7i
4mxciw9jsj9l437fd7bv78p91,Jakob,Svarrer Ankersen,Jakob,Ankersen,J. Ankersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1990-09-22,Denmark,5adf60vwiw2f2mibyq1k4ex7i,182.0,70.0,right,7.0,active,yes,,Esbjerg,,
4u8nj3oxx8lfxvjnb383baodl,Jean Carlos,de Brito,Jean Carlos,de Brito,Jean Carlos,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Midfielder,player,1995-06-09,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,173.0,65.0,left,36.0,active,no,Jean Carlos,Goiânia,,
5bhxlryh066pxnogizbuh67tg,Lukas,Wagner,Lukas,Wagner,L. Wagner,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2004-11-19,Denmark,5adf60vwiw2f2mibyq1k4ex7i,175.0,,right,25.0,active,no,,,,
5ccuvrs6aauvbah12idx0bor8,Muhammed,Jallow,,,M. Jallow,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Attacker,player,2005-02-16,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,,,,24.0,active,no,,,,
5oesz1ge01l4ay7llja4a3alm,Rogers,Mugisha,Rogers,Mugisha,R. Mugisha,Uganda,1j6yonplolalz6goyopv7xd1k,Attacker,player,2003-06-06,Uganda,1j6yonplolalz6goyopv7xd1k,,,,98.0,active,yes,,,,
61vr9xr91fr4g6ayzga5vn9w5,Alexander,Ludwig,Alexander,Ludwig,A. Ludwig,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1993-06-30,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,85.0,left,33.0,active,yes,,København,,
630daj1ef34rczbhng0eoncvd,Malte,Kiilerich Hansen,Malte,Kiilerich,M. Kiilerich,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1995-10-16,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,82.0,right,4.0,active,no,,København,,
6xisosaqrokplph1s2rhrui38,Sory,Traoré,Sory,Traore,S. Traoré,Guinea,4i9sg55wigitrfx7290f59ceo,Attacker,player,2005-03-13,Guinea,4i9sg55wigitrfx7290f59ceo,,,,,active,yes,,,,
7353ysa16qgg30b9z5qiagys4,Alagie,Saine,Alagie,Saine,A. Saine,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Defender,player,2003-01-20,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,186.0,,right,28.0,active,yes,,,,
7odg3dte6eh3uuv1cjnd3oefo,Andreas,Kampp Kiilerich Hermansen,Andreas,Hermansen,A. Hermansen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2004-05-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,,,,40.0,active,yes,,,,
7pbzgnyig3427nvsukz1bqq6s,Frederik,Vestergaard Kristensen,,,F. Kristensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2001-02-12,Denmark,5adf60vwiw2f2mibyq1k4ex7i,,,right,18.0,active,yes,,,,
7x5op2llscnltkn0pkshbwlxw,Mads,Lyng,Mads,Lyng,M. Lyng,Denmark,5adf60vwiw2f2mibyq1k4ex7i,,assistant coach,,Denmark,5adf60vwiw2f2mibyq1k4ex7i,,,,,active,yes,,,,
8lwk0z8fo8baciw394qqzew2d,Joakim,Persson,Joakim,Persson,J. Persson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,,coach,1975-04-03,Sweden,1z6l2c33w2kyz9rdefs1d68nb,180.0,76.0,,,active,no,,,,
8uhv14rin2znrr0wqgvcc2f2t,Matej,Delač,Matej,Delac,M. Delač,Croatia,37hlakrwxyuzovaeoo4sezusp,Goalkeeper,player,1992-08-20,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,190.0,80.0,right,1.0,active,yes,,Gornji Vakuf,,
9ik2uhlguua62ftde1gbv1dlg,Oscar,Karimi Mandrup,,,O. Mandrup,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2008-02-14,Denmark,5adf60vwiw2f2mibyq1k4ex7i,,,,21.0,active,yes,,,Iran,e53g9hr2d3kasm34uumbg8r4
9p9cd8xw4fz5mihxm69exb7ys,Omar,Jarju,,,O. Jarju,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Attacker,player,2005-08-18,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,,,,,active,yes,,,,
9tdl50o579ut0oj2eec0dprtg,Angelo Luca,Nehme,Angelo,Nehmé,A. Nehme,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2004-01-23,Denmark,5adf60vwiw2f2mibyq1k4ex7i,165.0,,both,22.0,active,yes,,,,
9yiz575rldkwu7icgqwk1qmdx,Anders,Kvindebjerg Jacobsen,Anders,Jacobsen,A. Jacobsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1989-10-27,Denmark,5adf60vwiw2f2mibyq1k4ex7i,181.0,77.0,right,9.0,active,no,,Odense,,
a5ixaq4f9h2eol29wyp7ncb2s,Gabriel,Kehinde Victor,Gabriel,Kehinde,G. Kehinde,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,2003-07-28,Nigeria,63pvdwrsiq5b07mzi8igqei9p,,,,23.0,active,no,,,,
