contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,16,17,18,20,22,23,24,25,29,56,61,63,64,72,73,74,75,76,77,78,79,80,81,82,83,84,85,100,101,102,103,108,113,120,121,133,146,147,153,154,214,215,230,231,233,321,322,323,324,326,327,328,338,374,375,391,395,396,458,19,26,60,89,160,254,343,468,62,65,87,114,276,280,281,282,472,68,136,138,216,217,274,122,139,275,300,9,353,390,362,28,67,69,469,473,86,314,21
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2659822159,14,14,1,0,46,J. Witt,5z7y55t2o577r8ki3i5855as,1,90.6,65.4,2024-03-16T12:03:20.400,2024-03-16T12:07:34,1.0,"{""id"": 4880799329, ""qualifierId"": 56, ""value"": ""Center""}",a88c18xh13jrxlft5jivd5fdg,Hillerød vs AaB,2024-03-16,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.5,39.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,99.1,52.0,NaN,0.01709885522723198,NaN,NaN,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2659822907,30,15,1,2,0,A. Justinussen,uiyol728wan4mxco2foplknp,1,76.8,70.3,2024-03-16T12:04:34.177,2024-03-16T13:05:34,NaN,"{""id"": 4880804409, ""qualifierId"": 146, ""value"": ""97.6""}",a88c18xh13jrxlft5jivd5fdg,Hillerød vs AaB,2024-03-16,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.6,16.5,NaN,NaN,NaN,NaN,NaN,97.6,52.2,NaN,NaN,NaN,true,NaN,NaN,12,0.017332714051008224,0.1587,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2659823883,51,16,1,3,21,A. Justinussen,uiyol728wan4mxco2foplknp,1,85.2,60.7,2024-03-16T12:05:54.985,2024-03-16T12:07:45,1.0,"{""id"": 4880810513, ""qualifierId"": 375, ""value"": ""03:20.397""}",a88c18xh13jrxlft5jivd5fdg,Hillerød vs AaB,2024-03-16,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.4,28.5,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,98.6,51.4,NaN,0.08534634113311768,0.0653,NaN,NaN,2,2,true,NaN,2024-03-16 12:05:53.955,03:20.397,NaN,1.1,49.1,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2659827479,54,16,1,7,40,M. Jørgensen,1arzd8hqj73byhduozscqz5uy,1,95.1,48.2,2024-03-16T12:10:13.907,2024-03-16T12:11:41,1.0,"{""id"": 4880829517, ""qualifierId"": 29}",a88c18xh13jrxlft5jivd5fdg,Hillerød vs AaB,2024-03-16,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.7,19.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,98.2,48.4,NaN,0.626470148563385,0.9283,NaN,NaN,1,1,true,NaN,2024-03-16 12:10:13.590,07:40.032,NaN,97.6,51.1,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2659826705,82,15,1,6,42,R. Møller,9350utk4onh2hv5jznxqpkd7t,1,90.6,42.4,2024-03-16T12:09:15.825,2024-03-16T12:10:39,1.0,"{""id"": 4880823869, ""qualifierId"": 102, ""value"": ""48.7""}",a88c18xh13jrxlft5jivd5fdg,Hillerød vs AaB,2024-03-16,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.7,27.2,NaN,NaN,NaN,NaN,NaN,98.0,48.4,NaN,true,NaN,NaN,NaN,NaN,36,0.02390083484351635,0.0819,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2659830129,128,13,1,11,6,M. Bay,bop31qof3lon7u6rvmb68ktzp,1,88.7,36.6,2024-03-16T12:13:40.504,2024-03-16T12:14:54,1.0,"{""id"": 4880841197, ""qualifierId"": 231, ""value"": ""48.2""}",a88c18xh13jrxlft5jivd5fdg,Hillerød vs AaB,2024-03-16,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,57.3,8.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,98.9,48.2,NaN,0.04009200260043144,NaN,NaN,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2659840777,190,15,1,25,34,O. Ross,5lz41celw55rz3zh8pohclw5w,1,73.2,64.0,2024-03-16T12:28:07.647,2024-03-16T13:05:36,1.0,"{""id"": 4890701015, ""qualifierId"": 78}",a88c18xh13jrxlft5jivd5fdg,Hillerød vs AaB,2024-03-16,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,51.3,19,NaN,NaN,NaN,NaN,NaN,87.9,57.0,NaN,NaN,NaN,true,82.0,76.4,272,0.06798302382230759,NaN,NaN,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2659849539,282,13,1,37,4,J. Adedeji,4sgxth7onhb5mu29bgyupby3u,1,88.5,40.7,2024-03-16T12:39:38.100,2024-03-16T12:42:54,NaN,"{""id"": 4880941485, ""qualifierId"": 326, ""value"": ""3""}",a88c18xh13jrxlft5jivd5fdg,Hillerød vs AaB,2024-03-16,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,NaN,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.1,61.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.4,48.2,NaN,0.036374032497406006,NaN,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2659844163,350,15,1,30,16,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,88.9,48.3,2024-03-16T12:32:50.328,2024-03-16T12:34:02,1.0,"{""id"": 4880913149, ""qualifierId"": 328}",a88c18xh13jrxlft5jivd5fdg,Hillerød vs AaB,2024-03-16,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.0,20.3,NaN,NaN,NaN,NaN,NaN,98.9,49.8,NaN,true,NaN,NaN,NaN,NaN,222,0.05468258261680603,0.0476,NaN,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2659845715,371,14,1,32,14,M. Julø,3bf4r3xgrs0ttlhgzb93as5t6,1,81.2,34.7,2024-03-16T12:34:48.495,2024-03-16T12:36:23,1.0,"{""id"": 4880920987, ""qualifierId"": 22}",a88c18xh13jrxlft5jivd5fdg,Hillerød vs AaB,2024-03-16,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.6,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.1,47.7,NaN,0.041826032102108,NaN,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
