contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,17,18,20,21,22,24,25,26,29,56,60,61,62,63,72,73,74,75,76,77,78,79,80,82,83,87,89,102,103,108,120,122,146,147,154,160,214,215,230,231,233,280,281,282,321,322,323,324,326,327,328,338,374,375,395,396,458,468,472,16,19,23,64,67,81,85,100,101,133,139,153,391,362,65,84,114,121,137,138,216,217,274,300,113,273,9,86,353,390,68,136,469,28,473,69,276,254,66,192,314,275
6wwwud48qahpwrfxs20334qk5,Fredericia,2681398873,48,15,1,4,51,F. Carstensen,2of6xfvdgpsrqehwxrc39kcq2,1,96.7,31.1,2024-05-02T16:07:36.713,2024-05-03T15:56:27,1.0,"{""id"": 4997268737, ""qualifierId"": 22}",d5bsbyw5pftsnp5oksx1jh0yc,SønderjyskE vs Fredericia,2024-05-02,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,49.0,4.4,NaN,NaN,NaN,99.5,44.9,true,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,0.05980799347162247,0.037,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2681398413,50,13,1,3,40,D. Wilkins,5q4p56lg1vjsqo824aql0e1d6,1,80.0,69.1,2024-05-02T16:06:25.367,2024-05-02T16:07:36,1.0,"{""id"": 4997266077, ""qualifierId"": 22}",d5bsbyw5pftsnp5oksx1jh0yc,SønderjyskE vs Fredericia,2024-05-02,NaN,NaN,true,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.2,34.7,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,98.2,51.4,NaN,NaN,NaN,NaN,0.025711432099342346,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2681400845,125,15,1,11,1,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,1,86.2,31.9,2024-05-02T16:13:46.352,2024-05-02T16:14:58,1.0,"{""id"": 4997279821, ""qualifierId"": 56, ""value"": ""Center""}",d5bsbyw5pftsnp5oksx1jh0yc,SønderjyskE vs Fredericia,2024-05-02,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,52.7,2.5,NaN,NaN,NaN,92.1,39.5,true,NaN,true,NaN,NaN,NaN,112,NaN,NaN,NaN,0.14593875408172607,0.6478,NaN,NaN,1,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2681401109,136,13,1,11,51,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,1,81.6,27.6,2024-05-02T16:14:36.992,2024-05-03T15:56:29,NaN,"{""id"": 4997281433, ""qualifierId"": 22}",d5bsbyw5pftsnp5oksx1jh0yc,SønderjyskE vs Fredericia,2024-05-02,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.7,6.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.6,48.2,NaN,NaN,NaN,NaN,0.02248764969408512,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2681401335,149,15,1,12,32,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,1,90.9,35.8,2024-05-02T16:15:17.311,2024-05-03T15:56:30,1.0,"{""id"": 4997282817, ""qualifierId"": 327, ""value"": ""1""}",d5bsbyw5pftsnp5oksx1jh0yc,SønderjyskE vs Fredericia,2024-05-02,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,51.2,17.1,NaN,NaN,NaN,93.8,39.9,true,NaN,true,NaN,NaN,NaN,119,NaN,NaN,NaN,0.4215254783630371,0.5875,NaN,NaN,1,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2681403297,194,13,1,18,21,S. Emini,5x8064b3yr7txk0czddfjtffu,1,76.2,29.9,2024-05-02T16:21:06.955,2024-05-02T16:22:15,1.0,"{""id"": 4997294229, ""qualifierId"": 321, ""value"": ""0.020327914506196976""}",d5bsbyw5pftsnp5oksx1jh0yc,SønderjyskE vs Fredericia,2024-05-02,NaN,NaN,true,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.4,90.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.8,48.4,NaN,NaN,NaN,NaN,0.020327914506196976,NaN,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2681405019,249,13,1,24,36,S. Berger,8ngloyr6r0m71p8kgpfe69bvu,1,81.8,66.7,2024-05-02T16:27:21.815,2024-05-03T15:56:24,1.0,"{""id"": 4997304657, ""qualifierId"": 29}",d5bsbyw5pftsnp5oksx1jh0yc,SønderjyskE vs Fredericia,2024-05-02,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.1,63.9,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,98.5,53.4,NaN,NaN,NaN,NaN,0.05589621141552925,NaN,NaN,NaN,1,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2681405313,254,15,1,25,36,J. Gallegos,6gh4z3yubnpypzoakjom1rj3e,1,89.6,61.5,2024-05-02T16:28:21.861,2024-05-02T17:07:11,1.0,"{""id"": 4997306153, ""qualifierId"": 102, ""value"": ""48.8""}",d5bsbyw5pftsnp5oksx1jh0yc,SønderjyskE vs Fredericia,2024-05-02,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,48.8,1.9,NaN,NaN,NaN,95.8,55.2,true,NaN,true,NaN,NaN,NaN,253,NaN,NaN,NaN,0.34835463762283325,0.5658,NaN,NaN,1,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2681405513,258,15,1,26,21,M. Soulas,6rd849oap6uh93wdwjk8590q1,1,96.1,58.1,2024-05-02T16:29:06.422,2024-05-02T16:30:47,1.0,"{""id"": 4997307059, ""qualifierId"": 56, ""value"": ""Center""}",d5bsbyw5pftsnp5oksx1jh0yc,SønderjyskE vs Fredericia,2024-05-02,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,47.3,15.8,NaN,NaN,NaN,99.5,52.5,true,true,NaN,NaN,NaN,NaN,256,NaN,NaN,NaN,0.026523470878601074,0.2762,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2681405527,259,16,1,26,22,K. Ingason,a8opuarwq9byw73nhfgvo9nca,1,90.0,41.7,2024-05-02T16:29:07.278,2024-05-02T16:30:59,NaN,"{""id"": 4997308761, ""qualifierId"": 103, ""value"": ""29.1""}",d5bsbyw5pftsnp5oksx1jh0yc,SønderjyskE vs Fredericia,2024-05-02,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,50.6,29.1,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,99.0,48.4,NaN,ATTEMPT_SAVED,434599,2827,0.19682276248931885,0.0793,true,NaN,1,3,true,258,2024-05-02 17:29:06.563,26:21.540,1.2,52.9,true,NaN,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
