contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,date,15,17,18,20,22,24,25,26,29,56,63,64,72,73,74,76,77,78,79,80,81,82,89,100,102,103,108,146,147,154,214,215,230,231,233,321,322,326,327,328,374,375,458,16,19,21,23,62,65,84,85,87,120,133,153,254,324,395,396,468,469,61,75,101,121,138,274,280,281,282,323,338,391,472,473,9,60,160,216,217,353,390,114,276,136,139,83,275,67,192,71,113,28,86,66,69,68,273,300,314
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2592974797,44,15,1,4,39,C. Jensen,74m58jsznzu8l89b8h7rkh1bd,1,81.3,43.3,2023-09-22T17:07:01.681,2023-09-22T17:08:21,"{""id"": 4523811007, ""qualifierId"": 22}",NaN,9p7ahqrau8nxq313ey7b3b3mc,AaB vs HB Køge,2023-09-22,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,50.5,11.4,NaN,97.6,48.4,NaN,NaN,true,NaN,NaN,58,0.05642659589648247,0.0186,2,2,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2592989509,303,15,1,28,42,Y. Bakiz,bb8q9cgqzw9n2tmkl8s3bth0q,1,68.9,47.3,2023-09-22T17:31:04.524,2023-09-22T17:33:08,"{""id"": 4523892215, ""qualifierId"": 26}",NaN,9p7ahqrau8nxq313ey7b3b3mc,AaB vs HB Køge,2023-09-22,NaN,NaN,true,true,NaN,NaN,NaN,true,NaN,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.4,14.6,NaN,96.8,49.5,NaN,NaN,NaN,NaN,NaN,244,0.030022546648979187,0.2037,1,3,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2592994049,316,15,1,35,44,D. Bayrak,d2otdesf6fxo0zjmrenoi074k,1,90.7,33.4,2023-09-22T17:38:06.175,2023-09-22T18:07:07,"{""id"": 4523917473, ""qualifierId"": 22}",1.0,9p7ahqrau8nxq313ey7b3b3mc,AaB vs HB Køge,2023-09-22,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,49.4,13.9,NaN,96.2,41.9,true,true,NaN,NaN,NaN,366,0.19459134340286255,0.2006,2,1,true,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2592994165,318,15,1,35,55,M. Gudmann,am3509ake84cde1xhb9264i22,1,82.1,31.0,2023-09-22T17:38:17.334,2023-09-22T17:40,"{""id"": 4523921539, ""qualifierId"": 146, ""value"": ""98.2""}",1.0,9p7ahqrau8nxq313ey7b3b3mc,AaB vs HB Køge,2023-09-22,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.3,4.4,NaN,98.2,47.5,true,NaN,true,NaN,NaN,367,0.02515026554465294,0.1572,2,3,true,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2592992391,352,15,1,33,24,M. Widell,3q4tnk1z46lop4rbdpjtfoc2c,1,92.6,66.8,2023-09-22T17:35:46.389,2023-09-22T17:37:07,"{""id"": 4523908269, ""qualifierId"": 22}",NaN,9p7ahqrau8nxq313ey7b3b3mc,AaB vs HB Køge,2023-09-22,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,Center,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,54.7,19,NaN,95.3,62.5,NaN,NaN,NaN,98.8,54.5,296,0.04267142340540886,NaN,3,2,true,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2592992821,355,15,1,34,4,R. Odada,8bfew6mf9m26cj07fq32uf2wa,1,73.5,37.9,2023-09-22T17:36:25.851,2023-09-22T17:37:55,"{""id"": 4523911529, ""qualifierId"": 322, ""value"": ""0.1083""}",NaN,9p7ahqrau8nxq313ey7b3b3mc,AaB vs HB Køge,2023-09-22,NaN,NaN,true,true,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.6,8.9,NaN,97.1,48.9,NaN,NaN,true,NaN,NaN,299,0.014904467388987541,0.1083,2,3,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2592995043,383,16,1,36,58,M. Widell,3q4tnk1z46lop4rbdpjtfoc2c,1,78.8,58.9,2023-09-22T17:39:20.680,2023-09-22T17:41:11,"{""id"": 4523927509, ""qualifierId"": 322, ""value"": ""0.3305""}",NaN,9p7ahqrau8nxq313ey7b3b3mc,AaB vs HB Køge,2023-09-22,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.6,26.6,NaN,NaN,NaN,NaN,NaN,true,98.1,49.6,NaN,0.04623016342520714,0.3305,2,2,true,2023-09-22 18:39:18.684,36:56.978,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2593016717,440,15,2,46,21,S. Larsen,4m7gr5z6b40dj02yrmlwgeluc,1,81.3,65.8,2023-09-22T18:08:13.727,2023-09-22T18:09:34,"{""id"": 4524037109, ""qualifierId"": 22}",1.0,9p7ahqrau8nxq313ey7b3b3mc,AaB vs HB Køge,2023-09-22,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,49.5,24.1,NaN,97.5,52.2,true,NaN,NaN,NaN,NaN,487,0.032595518976449966,0.042,2,2,true,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2593027859,531,13,2,54,49,M. Gudmann,am3509ake84cde1xhb9264i22,1,79.3,28.9,2023-09-22T18:16:41.924,2023-09-22T19:11:53,"{""id"": 4524097741, ""qualifierId"": 231, ""value"": ""48.7""}",1.0,9p7ahqrau8nxq313ey7b3b3mc,AaB vs HB Køge,2023-09-22,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.8,37.5,NaN,NaN,NaN,NaN,NaN,true,98.8,48.7,NaN,0.01154840737581253,NaN,3,3,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2593048005,699,15,2,72,32,W. Madsen,7ztdirfvd9d0x2yw1v051xzbo,1,80.6,44.3,2023-09-22T18:34:24.467,2023-09-22T18:35:40,"{""id"": 4524210021, ""qualifierId"": 22}",NaN,9p7ahqrau8nxq313ey7b3b3mc,AaB vs HB Køge,2023-09-22,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,50.4,3.2,NaN,98.2,50.0,NaN,NaN,NaN,NaN,NaN,731,0.05009419471025467,0.0297,2,2,true,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
