contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,date,9,15,16,17,18,19,20,22,24,25,26,29,56,63,64,70,72,73,74,75,76,77,78,79,80,81,82,83,84,85,100,102,103,108,114,121,137,139,146,147,153,154,214,215,230,231,233,321,322,323,324,326,327,328,338,353,374,375,390,395,396,458,468,469,23,89,113,120,136,391,61,133,28,87,280,281,282,472,473,60,138,273,86,21,101,160,254,300,65,274,216,217,275,62,343,276,192,66,68
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2569872697,20,15,1,2,11,N. Mouritsen,eyvv6b94feknnp1uew6n0ytat,1,73.8,36.3,2023-07-23T12:02:19.110,2023-07-25T11:30:27,"{""id"": 4398635003, ""qualifierId"": 26}",NaN,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,45.5,27.8,NaN,NaN,true,NaN,NaN,98.8,49.1,NaN,NaN,NaN,NaN,NaN,NaN,24,0.03740529716014862,0.5267,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2569872877,23,13,1,2,50,O. Drost,1n4t6k5k2on5iihoc59brxi3t,1,77.5,35.1,2023-07-23T12:02:57.474,2023-07-25T11:30:31,"{""id"": 4398636533, ""qualifierId"": 103, ""value"": ""95.8""}",NaN,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,39.7,95.8,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.1,48.2,NaN,0.013566871173679829,NaN,NaN,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2569873411,47,13,1,4,21,M. Etim,1fjkjzsei9slx2t4zhsqdkve1,1,87.8,44.5,2023-07-23T12:04:28.417,2023-07-25T11:30:36,"{""id"": 4402183545, ""qualifierId"": 75}",1.0,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.8,34.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,98.9,48.9,NaN,0.0938795879483223,NaN,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2569873835,60,14,1,5,37,M. Knudsen,7mz3eeftobqmj35uu0ax1vbhl,1,85.6,31.3,2023-07-23T12:05:45.178,2023-07-23T12:06:58,"{""id"": 4398641461, ""qualifierId"": 29}",1.0,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.6,12.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.4,48.9,NaN,0.03932776302099228,NaN,NaN,true,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2569874195,66,15,1,6,39,M. Etim,1fjkjzsei9slx2t4zhsqdkve1,1,79.7,31.8,2023-07-23T12:06:46.473,2023-07-23T12:07:59,"{""id"": 4398643569, ""qualifierId"": 233, ""value"": ""57""}",1.0,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,49.3,19,NaN,NaN,NaN,NaN,NaN,83.4,35.0,NaN,NaN,NaN,true,98.0,48.2,57,0.026373621076345444,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2569874525,70,16,1,7,31,F. Hasani,71wfumggsne28ieaiuwezyaj9,1,96.3,50.9,2023-07-23T12:07:38.864,2023-07-23T13:03:59,"{""id"": 4398647729, ""qualifierId"": 114}",1.0,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,47.3,10.8,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,98.9,55.4,NaN,0.36456018686294556,0.8971,NaN,NaN,1,2,true,NaN,NaN,2023-07-23 13:07:38.628,07:31.435,NaN,98.6,55.6,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2569875083,71,15,1,7,30,S. Yatéké,9ircna8pbskreztmy1wiqwx9m,1,92.6,68.1,2023-07-23T12:07:37.815,2023-07-25T12:30:12,"{""id"": 4398648061, ""qualifierId"": 82}",NaN,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,45.5,20.8,NaN,true,NaN,NaN,true,97.7,52.0,NaN,NaN,NaN,NaN,98.9,55.2,NaN,0.05643521621823311,NaN,NaN,NaN,1,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2569875421,73,13,1,10,6,M. Carlson,b5r9e8cyb3ds82vcy387j717t,1,75.3,47.0,2023-07-23T12:10:13.731,2023-07-23T12:11:28,"{""id"": 4398649899, ""qualifierId"": 321, ""value"": ""0.0917809009552002""}",NaN,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,NaN,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.2,61.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.9,51.6,NaN,0.0917809009552002,NaN,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2569876515,110,15,1,12,45,M. Knudsen,7mz3eeftobqmj35uu0ax1vbhl,1,91.0,34.0,2023-07-23T12:12:53.310,2023-07-23T12:15:07,"{""id"": 4398658695, ""qualifierId"": 63}",1.0,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.1,6.3,NaN,NaN,NaN,NaN,NaN,98.6,47.3,NaN,true,NaN,true,NaN,NaN,95,0.07846280187368393,0.0808,NaN,true,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2569876529,113,13,1,12,50,R. Marcus,ahs6m7vvgmj6ydqok7as4nx0,1,81.9,38.2,2023-07-23T12:12:57.335,2023-07-25T11:30:46,"{""id"": 4398665467, ""qualifierId"": 230, ""value"": ""98.5""}",1.0,9c7pxvlmfkotnuzkagz40e2vo,Helsingør vs Næstved,2023-07-23,NaN,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.9,94.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.5,48.4,NaN,0.057672396302223206,NaN,true,NaN,1,3,true,110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
