contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,date,15,17,18,20,22,23,25,29,56,60,63,64,67,72,73,74,75,77,78,79,80,81,82,83,84,89,102,103,108,114,146,147,153,154,160,214,215,230,231,233,321,322,326,327,328,374,375,391,395,396,458,9,16,24,26,62,70,76,86,100,138,275,323,324,338,353,390,28,61,87,120,121,280,281,282,468,469,472,473,85,101,133,136,113,21,66,19,65,314,68,276,139,254,137,69,216,217,300
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572963767,114,15,1,8,17,A. Hassan,73zwo9lvgzvri6s5gp34b2hnt,1,87.7,28.6,2023-08-04T17:09:12.962,2023-08-07T10:29:54,"{""id"": 4416192825, ""qualifierId"": 22}",NaN,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.6,19,NaN,NaN,91.6,34.7,NaN,NaN,NaN,NaN,NaN,99.4,46.8,59,0.02006814070045948,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572963959,118,13,1,8,58,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,93.3,46.8,2023-08-04T17:09:53.659,2023-08-07T10:30:02,"{""id"": 4416198697, ""qualifierId"": 84}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.8,29.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.9,47.7,NaN,0.10972137004137039,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572964975,142,15,1,12,11,B. Kücükylidiz,bpldj4qdzfdm1n739atcadbmc,1,76.2,36.3,2023-08-04T17:13:07.310,2023-08-07T10:29:50,"{""id"": 4416280325, ""qualifierId"": 233, ""value"": ""390""}",NaN,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.5,19,NaN,NaN,81.4,39.2,NaN,NaN,NaN,NaN,NaN,98.0,49.8,390,0.024066142737865448,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572965009,145,15,1,12,21,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,87.2,45.0,2023-08-04T17:13:17.560,2023-08-07T10:29:52,"{""id"": 4416199409, ""qualifierId"": 103, ""value"": ""0.6""}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.8,0.6,NaN,NaN,99.5,49.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,0.022931454703211784,0.3855,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572967929,255,15,1,23,9,T. Arndal,1n4eldqa7h9jvcx1693zqu06i,1,75.2,34.9,2023-08-04T17:24:04.599,2023-08-07T11:30:20,"{""id"": 4416214989, ""qualifierId"": 322, ""value"": ""0.2876""}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.9,3.2,NaN,NaN,99.9,48.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,221,0.03449030593037605,0.2876,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572969681,342,15,1,31,33,N. Schmidt,5dlh0fa9yo6z283w9p58xmnoq,1,79.6,33.0,2023-08-04T17:32:28.878,2023-08-07T11:30:23,"{""id"": 4423374647, ""qualifierId"": 78}",NaN,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.4,1.3,NaN,NaN,99.0,48.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,268,0.044454414397478104,0.0327,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2572973467,347,15,1,40,32,M. Freundlich,cuufy3ioo1kio56er2cfn0mqc,1,71.2,55.9,2023-08-04T17:41:28.230,2023-08-07T11:30:21,"{""id"": 4416243643, ""qualifierId"": 215}",NaN,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.4,19,NaN,NaN,78.5,54.5,NaN,NaN,NaN,NaN,NaN,97.5,50.4,426,0.01541044469922781,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572972037,389,13,1,36,54,T. Arndal,1n4eldqa7h9jvcx1693zqu06i,1,87.3,46.2,2023-08-04T17:37:50.130,2023-08-07T11:30:24,"{""id"": 4416236415, ""qualifierId"": 154}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.5,18.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.0,48.2,NaN,0.04918268322944641,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2572984689,487,16,2,51,50,F. Elkær,3qjm9ada1em0wt6ti5l352q96,1,90.5,64.0,2023-08-04T18:12:24.678,2023-08-07T12:30:38,"{""id"": 4416301087, ""qualifierId"": 80}",NaN,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.7,3.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.8,55.6,NaN,0.17003387212753296,0.1948,2,1,NaN,2023-08-04 19:12:23.851,51:49.759,NaN,3.1,44.6,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572975439,488,15,1,46,10,T. Arndal,1n4eldqa7h9jvcx1693zqu06i,1,80.1,34.0,2023-08-04T17:47:05.995,2023-08-07T11:30:22,"{""id"": 4416253691, ""qualifierId"": 326, ""value"": ""2""}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.7,19,NaN,NaN,82.5,35.9,NaN,NaN,NaN,NaN,NaN,100,49.6,380,0.0329568088054657,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
