contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,16,17,18,20,22,23,24,25,29,56,61,63,64,72,73,74,75,76,77,78,80,81,82,84,89,100,102,103,108,133,146,147,153,154,160,214,215,230,231,233,321,322,326,327,328,374,375,391,395,396,458,21,60,83,139,323,338,9,26,86,101,120,136,324,353,390,65,79,113,114,138,273,62,66,85,280,281,282,472,28,70,254,275,473,87,67,19,274,276,121,137,468,469,216,217,314,122,300
b2vft81kyjurzbmekvgrqwr64,Hobro,2621387245,87,15,1,8,42,V. Rasmussen,dwuxps3jv2852642q000wep6,1,79.9,59.3,2023-11-26T14:14:03.634,2023-11-26T14:15:33,1.0,"{""id"": 4675606147, ""qualifierId"": 147, ""value"": ""58.5""}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,52.8,19,NaN,NaN,82.4,58.5,NaN,NaN,NaN,NaN,true,98.4,52.2,122,0.05872373655438423,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2621388869,98,15,1,9,39,A. Yoda,dks42ixnh6n3utbuqmovk3a50,1,80.2,27.0,2023-11-26T14:15:01.553,2023-11-28T16:30:24,NaN,"{""id"": 4675611209, ""qualifierId"": 82}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,51.9,9.7,true,NaN,84.3,31.6,NaN,NaN,NaN,NaN,true,98.0,47.5,131,0.015240726061165333,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2621395677,139,13,1,13,59,O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,1,93.7,45.4,2023-11-26T14:19:21.184,2023-11-28T16:30:22,1.0,"{""id"": 4680540515, ""qualifierId"": 17}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,43.5,31.9,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,98.8,47.8,NaN,0.12355759739875793,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2621392877,147,13,1,12,8,Y. Bakiz,bb8q9cgqzw9n2tmkl8s3bth0q,1,77.9,38.6,2023-11-26T14:17:30.189,2023-11-28T16:30:23,NaN,"{""id"": 4675630695, ""qualifierId"": 22}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.7,6.9,true,NaN,85.6,97.5,true,NaN,NaN,NaN,true,98.5,49.6,NaN,0.02271878346800804,NaN,1,3,true,NaN,NaN,true,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2621415881,302,15,1,29,20,N. Helenius,rv6r0bwbl75er38wklyfpsr9,1,95.2,45.8,2023-11-26T14:34:41.695,2023-11-28T17:30:07,1.0,"{""id"": 4675753373, ""qualifierId"": 154}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,true,true,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,47.8,34.2,NaN,NaN,98.4,48.0,NaN,true,NaN,NaN,NaN,NaN,NaN,300,0.21193638443946838,0.3322,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2621418063,315,15,1,30,47,O. Ross,5lz41celw55rz3zh8pohclw5w,1,87.2,40.4,2023-11-26T14:36:09.264,2023-11-28T17:30:13,1.0,"{""id"": 4675764371, ""qualifierId"": 23}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,true,NaN,true,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,52.4,9.7,NaN,NaN,88.6,41.3,NaN,true,NaN,NaN,NaN,97.8,47.3,322,0.16046983003616333,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2621419405,319,15,1,31,33,O. Ross,5lz41celw55rz3zh8pohclw5w,1,87.9,53.4,2023-11-26T14:36:54.759,2023-11-28T17:30:11,NaN,"{""id"": 4675807835, ""qualifierId"": 147, ""value"": ""50.4""}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,51.0,13.9,true,NaN,98.9,50.4,NaN,NaN,NaN,NaN,true,NaN,NaN,327,0.06280943006277084,0.0303,2,3,true,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2621424047,355,15,1,34,16,N. Helenius,rv6r0bwbl75er38wklyfpsr9,1,89.0,53.8,2023-11-26T14:39:38.230,2023-11-28T17:30:09,1.0,"{""id"": 4680607913, ""qualifierId"": 76}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.3,13.3,NaN,NaN,98.6,50.4,NaN,true,NaN,NaN,NaN,NaN,NaN,348,0.04723156616091728,0.2816,3,1,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2621427319,376,15,1,36,31,M. Bomholt,ejixz16616b7krftxyzv9yiac,1,80.1,69.3,2023-11-26T14:41:53.244,2023-11-28T17:30:10,1.0,"{""id"": 4680618559, ""qualifierId"": 77}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.2,24.1,NaN,true,98.1,51.8,NaN,NaN,NaN,NaN,true,NaN,NaN,367,0.024763507768511772,0.1944,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2621436299,411,15,1,42,26,M. Højholt,eyx42tgneccybvhk8bfhtcaqy,1,79.5,52.2,2023-11-26T14:47:48.183,2023-11-28T18:14:54,NaN,"{""id"": 4680665089, ""qualifierId"": 108}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.1,10.8,true,true,98.9,50.4,NaN,NaN,NaN,NaN,true,NaN,NaN,398,0.021987799555063248,0.0621,2,3,true,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
