label,date,team_name,counterpressing_5s,counterpressing_10s
AaB vs Horsens,2023-07-29,Horsens,15.0,31.0
B 93 vs Horsens,2024-03-16,Horsens,37.0,65.0
B 93 vs Horsens,2024-04-26,Horsens,66.0,131.0
Fredericia vs Horsens,2023-08-22,Horsens,22.0,40.0
HB Køge vs Horsens,2023-11-03,Horsens,29.0,69.0
HB Køge vs Horsens,2024-04-01,Horsens,22.0,52.0
Helsingør vs Horsens,2023-11-24,Horsens,30.0,55.0
Helsingør vs Horsens,2024-05-05,Horsens,22.0,51.0
Hillerød vs Horsens,2023-09-29,Horsens,30.0,59.0
Hillerød vs Horsens,2024-05-24,Horsens,22.0,41.0
Hobro vs Horsens,2023-09-15,Horsens,26.0,50.0
Horsens vs AaB,2023-10-06,Horsens,14.0,37.0
Horsens vs B 93,2023-09-01,Horsens,45.0,80.0
Horsens vs B 93,2024-05-18,Horsens,17.0,53.0
Horsens vs Fredericia,2023-11-10,Horsens,20.0,38.0
Horsens vs HB Køge,2023-08-04,Horsens,24.0,56.0
Horsens vs HB Køge,2024-06-01,Horsens,18.0,28.0
Horsens vs Helsingør,2023-08-18,Horsens,37.0,55.0
Horsens vs Helsingør,2024-04-19,Horsens,25.0,55.0
Horsens vs Hillerød,2023-10-27,Horsens,27.0,52.0
Horsens vs Hillerød,2024-04-05,Horsens,28.0,52.0
Horsens vs Kolding,2024-02-23,Horsens,28.0,40.0
Horsens vs Næstved,2023-08-25,Horsens,19.0,35.0
Horsens vs Næstved,2024-05-10,Horsens,20.0,41.0
Horsens vs SønderjyskE,2024-03-09,Horsens,18.0,45.0
Horsens vs Vendsyssel,2023-09-23,Horsens,24.0,42.0
Kolding vs Horsens,2023-07-23,Horsens,33.0,50.0
Næstved vs Horsens,2024-03-03,Horsens,34.0,65.0
Næstved vs Horsens,2024-04-12,Horsens,20.0,41.0
SønderjyskE vs Horsens,2023-08-12,Horsens,6.0,17.0
Vendsyssel vs Horsens,2023-10-19,Horsens,35.0,70.0
