contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,9,15,16,17,18,20,22,23,24,25,29,56,60,63,72,73,75,76,77,78,80,81,82,84,85,86,87,100,101,102,103,108,113,136,138,146,147,153,154,214,215,230,231,233,275,280,281,282,321,322,323,324,326,327,328,338,353,374,375,390,395,396,458,472,64,65,74,89,160,314,391,468,26,62,121,133,19,120,276,83,79,114,61,362,67,68,254,469,300,473,139,273,216,217,137,70,21
a9vw7ikerpr4cuweeeka5aneg,Horsens,2666142441,53,15,1,4,4,J. Madsen,eso2tbbpnxu9qvx6zy07m5jx0,1,79.6,44.5,2024-04-01T13:03:45.607,2024-04-01T14:03:17,1.0,"{""id"": 4914827627, ""qualifierId"": 22}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.0,10.1,NaN,NaN,NaN,NaN,99.4,48.7,NaN,NaN,NaN,true,NaN,NaN,48,NaN,NaN,NaN,NaN,0.047354038804769516,0.0603,NaN,NaN,1,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2666157063,199,13,1,20,58,S. Becher,2xewnia49fvj3u2x3y8tfq2ju,1,76.2,35.2,2024-04-01T13:20:39.745,2024-04-01T14:03:13,1.0,"{""id"": 4915074183, ""qualifierId"": 215}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,NaN,NaN,NaN,true,true,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,43.0,48.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,true,true,85.1,40.1,NaN,NaN,NaN,NaN,NaN,0.12679193913936615,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2666156917,229,15,1,20,47,M. Jensen,619s1phj5bkgkug3aszc1y9cl,1,84.6,55.2,2024-04-01T13:20:28.645,2024-04-01T13:21:41,1.0,"{""id"": 4914909801, ""qualifierId"": 22}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,47.5,19,NaN,NaN,NaN,NaN,88.0,47.1,NaN,true,NaN,true,96.9,47.1,196,NaN,NaN,NaN,NaN,0.08345853537321091,NaN,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2666159425,269,16,1,23,54,M. Jensen,619s1phj5bkgkug3aszc1y9cl,1,92.1,42.3,2024-04-01T13:23:35.643,2024-04-01T13:25:04,1.0,"{""id"": 4914923539, ""qualifierId"": 326, ""value"": ""3""}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.9,8.2,true,NaN,true,NaN,NaN,NaN,NaN,true,true,NaN,98.5,47.5,NaN,NaN,NaN,NaN,NaN,0.15519672632217407,0.8077,NaN,NaN,3,1,true,NaN,NaN,2024-04-01 14:23:35.054,23:53.578,NaN,97.3,47.5,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2666165685,271,15,1,31,2,A. Nehme,9tdl50o579ut0oj2eec0dprtg,1,83.7,31.8,2024-04-01T13:30:44.400,2024-04-01T14:03:12,NaN,"{""id"": 4914960519, ""qualifierId"": 324}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,true,true,48.2,19,NaN,NaN,NaN,NaN,99.7,47.8,NaN,NaN,NaN,true,84.7,40.6,342,NaN,NaN,NaN,NaN,0.04460456594824791,NaN,NaN,true,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2666169087,290,15,1,35,8,J. Beluli,29y19vqfjkvlc8s9gr5v5atqs,1,74.7,61.1,2024-04-01T13:34:50.230,2024-04-01T13:36:02,NaN,"{""id"": 4914979275, ""qualifierId"": 215}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.8,3.8,NaN,NaN,NaN,NaN,99.9,48.4,NaN,NaN,NaN,true,NaN,NaN,383,NaN,NaN,NaN,NaN,0.019866209477186203,0.0684,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2666171063,317,14,1,37,7,S. Becher,2xewnia49fvj3u2x3y8tfq2ju,1,90.6,47.9,2024-04-01T13:36:49.170,2024-04-01T14:03:16,1.0,"{""id"": 4914992097, ""qualifierId"": 231, ""value"": ""49.8""}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.8,22.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,99.8,49.8,NaN,NaN,NaN,NaN,NaN,0.05612815171480179,NaN,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2666171255,318,15,1,37,8,A. Nehme,9tdl50o579ut0oj2eec0dprtg,1,95.6,40.3,2024-04-01T13:36:50.107,2024-04-01T14:03:15,NaN,"{""id"": 4914990943, ""qualifierId"": 147, ""value"": ""46.4""}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,Center,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.1,10.1,NaN,NaN,NaN,NaN,99.9,46.4,NaN,NaN,NaN,NaN,NaN,NaN,413,NaN,NaN,NaN,NaN,0.201376274228096,0.2256,true,NaN,1,1,true,317,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2666173071,336,15,1,39,14,S. Becher,2xewnia49fvj3u2x3y8tfq2ju,1,88.7,43.8,2024-04-01T13:38:55.596,2024-04-01T13:40:13,1.0,"{""id"": 4915001527, ""qualifierId"": 102, ""value"": ""46.6""}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.6,2.5,NaN,NaN,NaN,NaN,99.1,50.7,NaN,true,NaN,NaN,NaN,NaN,434,NaN,NaN,NaN,NaN,0.045841362327337265,0.2275,NaN,NaN,2,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2666173479,340,13,1,39,37,J. Beluli,29y19vqfjkvlc8s9gr5v5atqs,1,82.2,45.6,2024-04-01T13:39:18.636,2024-04-01T13:40:32,1.0,"{""id"": 4915002381, ""qualifierId"": 56, ""value"": ""Center""}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,56.5,56.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,99.7,49.1,NaN,NaN,NaN,NaN,NaN,0.04589436948299408,NaN,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2666174797,359,13,1,41,11,J. Beluli,29y19vqfjkvlc8s9gr5v5atqs,1,77.3,46.4,2024-04-01T13:40:53.540,2024-04-01T15:19:52,1.0,"{""id"": 4915011349, ""qualifierId"": 72}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.6,63.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,99.5,49.3,NaN,NaN,NaN,NaN,NaN,0.036682385951280594,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2666180959,424,15,1,47,53,A. Ludwig,61vr9xr91fr4g6ayzga5vn9w5,1,92.3,62.2,2024-04-01T13:47:35.177,2024-04-01T15:19:48,1.0,"{""id"": 4915045163, ""qualifierId"": 102, ""value"": ""52.5""}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,52.5,19,NaN,NaN,NaN,NaN,93.8,60.3,NaN,true,NaN,NaN,100,49.1,484,NaN,NaN,NaN,NaN,0.024185068905353546,NaN,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2666180983,425,13,1,47,55,S. Becher,2xewnia49fvj3u2x3y8tfq2ju,1,86.6,62.4,2024-04-01T13:47:36.696,2024-04-01T15:19:47,NaN,"{""id"": 4915044587, ""qualifierId"": 326, ""value"": ""3""}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,NaN,NaN,true,NaN,true,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,44.7,55.6,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.4,50,NaN,NaN,NaN,NaN,NaN,0.01701614074409008,NaN,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2666193699,462,15,2,47,25,J. Beluli,29y19vqfjkvlc8s9gr5v5atqs,1,85.2,63.0,2024-04-01T14:05:27.251,2024-04-01T15:19:51,1.0,"{""id"": 4915114053, ""qualifierId"": 17}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,53.1,19,NaN,NaN,NaN,NaN,86.8,61.9,NaN,NaN,NaN,NaN,99.4,50.4,524,NaN,NaN,NaN,NaN,0.03025858663022518,NaN,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2666194575,465,13,2,47,57,M. Lassen,duahzgqspyuy2gu31u3s8ky96,1,91.0,42.8,2024-04-01T14:05:59.364,2024-04-01T14:07:39,1.0,"{""id"": 4915118925, ""qualifierId"": 56, ""value"": ""Center""}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.3,5.6,NaN,NaN,NaN,NaN,94.0,48.9,true,true,NaN,NaN,100,49.1,NaN,NaN,NaN,NaN,NaN,0.05690178647637367,NaN,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2666194615,466,15,2,47,59,M. Opondo,4m3slt6iikaxklqd12i719rl5,1,92.7,45.8,2024-04-01T14:06:01.356,2024-04-01T15:19:50,1.0,"{""id"": 4918619545, ""qualifierId"": 29}",51r4b0lbxtcdnixpb2qp3xct0,HB Køge vs Horsens,2024-04-01,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,47.8,19,NaN,NaN,NaN,NaN,94.2,46.2,NaN,NaN,NaN,NaN,99.8,48.6,526,NaN,NaN,NaN,NaN,0.10649251937866211,NaN,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
