contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,16,17,18,19,20,22,23,24,25,26,29,56,60,63,64,72,73,74,75,76,78,79,80,81,82,84,102,103,108,133,146,147,154,214,215,230,231,233,321,322,326,327,328,362,374,375,391,395,396,458,9,62,100,153,160,280,281,282,324,353,390,472,473,21,77,120,323,338,83,89,114,138,254,273,61,66,68,101,121,136,139,314,468,469,28,85,300,275,274,189,192,65,87,69,122,113,216,217,86,67
a9vw7ikerpr4cuweeeka5aneg,Horsens,2570251585,78,15,1,7,45,J. Ankersen,4mxciw9jsj9l437fd7bv78p91,1,93.7,30.1,2023-07-24T15:09:49.211,2023-07-25T21:52:17,1.0,"{""id"": 4400730935, ""qualifierId"": 327, ""value"": ""1""}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,53.6,10.1,true,NaN,98.9,46.4,NaN,NaN,NaN,NaN,NaN,80,0.0523,0.4253,1,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2570251621,87,15,1,8,42,J. Buus,s8c0oxnoqt6zi7pi88rwawvd,1,74.5,60.0,2023-07-24T15:10:46.467,2023-07-25T21:56:24,NaN,"{""id"": 4400731231, ""qualifierId"": 18}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,48.4,27.8,NaN,NaN,97.2,52.0,NaN,NaN,true,NaN,NaN,87,0.0222,0.1058,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2570251655,94,15,1,9,7,A. Jacobsen,9yiz575rldkwu7icgqwk1qmdx,1,91.0,54.0,2023-07-24T15:11:11.492,2023-07-25T21:59:55,1.0,"{""id"": 4400731417, ""qualifierId"": 56, ""value"": ""Center""}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,48.4,2.5,NaN,NaN,93.8,52.7,true,true,NaN,NaN,NaN,93,0.5395,0.8018,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2570251981,160,13,1,16,50,P. Ngongo,1nn1wc14k9zd3wtu73loj7kes,1,89.6,35.5,2023-07-24T15:18:54.699,2023-07-25T22:20:28,NaN,"{""id"": 4400733357, ""qualifierId"": 22}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,Center,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.0,2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.0,46.6,NaN,0.0593,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2570252053,182,15,1,19,9,A. Sigurðarson,266me3mc2giq9nnwn7ymkmymt,1,70.5,59.8,2023-07-24T15:21:13.236,2023-07-26T01:52:38,NaN,"{""id"": 4400734081, ""qualifierId"": 78}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,49.5,19,NaN,NaN,86.2,54.3,NaN,NaN,NaN,96.5,49.3,173,0.0502,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2570252109,187,13,1,20,2,T. Mikkelsen,3l0wq19mq865qi29ndtb0axn9,1,82.5,32.0,2023-07-24T15:22:06.720,2023-07-25T22:35:56,1.0,"{""id"": 4402688867, ""qualifierId"": 81}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,39.2,77.8,NaN,NaN,NaN,NaN,NaN,NaN,true,97.1,46.6,NaN,0.0378,NaN,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2570252277,223,15,1,24,36,D. Wilkins,5q4p56lg1vjsqo824aql0e1d6,1,79.9,62.3,2023-07-24T15:26:40.431,2023-07-25T22:46:25,1.0,"{""id"": 4400735101, ""qualifierId"": 327, ""value"": ""2""}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,true,NaN,true,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,48.7,32.9,NaN,NaN,98.0,50.7,NaN,NaN,true,NaN,NaN,240,0.0324,0.1251,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2570252221,228,15,1,22,23,A. Sigurðarson,266me3mc2giq9nnwn7ymkmymt,1,85.6,70.9,2023-07-24T15:24:27.757,2023-07-25T22:43:25,NaN,"{""id"": 4400760341, ""qualifierId"": 458}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,true,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,51.4,19,NaN,NaN,88.4,67.2,NaN,NaN,NaN,97.8,53.6,209,0.0396,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2570252453,250,15,1,29,44,D. Wilkins,5q4p56lg1vjsqo824aql0e1d6,1,87.8,49.5,2023-07-24T15:31:48.749,2023-07-25T23:01:24,1.0,"{""id"": 4400738041, ""qualifierId"": 72}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,54.1,19,true,NaN,94.0,51.8,true,NaN,NaN,98.4,49.6,272,0.0664,NaN,2,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2570252359,259,13,1,27,30,A. Jacobsen,9yiz575rldkwu7icgqwk1qmdx,1,91.3,55.0,2023-07-24T15:29:34.901,2023-07-25T22:58:16,1.0,"{""id"": 4400735659, ""qualifierId"": 17}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.5,80.6,NaN,NaN,NaN,NaN,true,NaN,NaN,98.1,52.0,NaN,0.067,NaN,1,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
