contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,date,15,17,18,20,22,23,24,25,26,29,56,63,64,72,73,74,75,76,77,78,79,80,82,84,87,89,100,102,103,108,121,133,138,146,147,153,154,160,214,215,230,231,233,254,274,275,321,322,324,326,327,328,374,375,391,395,396,458,468,61,65,66,81,85,101,120,136,16,60,62,280,281,282,472,114,67,68,70,83,113,323,338,9,353,390,19,137,139,469,21,28,473,300,273,86,276,216,217
9p2s410bvc59jz238ugicc3fn,Næstved,2665521051,47,15,1,5,32,P. Banda,c6x3omnbbq5hw10xsxcq1yec4,1,90.9,58.1,2024-03-31T12:06:56.538,2024-03-31T12:08:32,"{""id"": 4911492335, ""qualifierId"": 17}",NaN,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,51.7,19,NaN,NaN,NaN,NaN,92.4,57.0,NaN,NaN,true,NaN,NaN,98.2,50.5,39,NaN,NaN,NaN,0.08261812478303909,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2665521181,48,15,1,5,36,M. Carlson,b5r9e8cyb3ds82vcy387j717t,1,81.6,49.5,2024-03-31T12:07:00.426,2024-03-31T12:08:20,"{""id"": 4914513565, ""qualifierId"": 18}",NaN,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,46.0,1.9,true,NaN,true,NaN,98.6,49.8,NaN,NaN,true,NaN,true,NaN,NaN,40,NaN,NaN,NaN,0.058729395270347595,0.3854,NaN,2,3,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2665526895,91,15,1,9,56,M. Christensen,a8zxp4qf5nw7eumulk3z3d15g,1,76.8,49.3,2024-03-31T12:11:20.429,2024-03-31T13:03:47,"{""id"": 4911520905, ""qualifierId"": 22}",NaN,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,50.1,6.9,NaN,NaN,NaN,NaN,81.6,49.5,NaN,NaN,NaN,NaN,true,93.6,49.6,71,NaN,NaN,NaN,0.048961568623781204,NaN,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2665530017,103,15,1,12,18,M. Kongstedt,ceo14a2foxl6hd7m16xu3ed3p,1,79.3,36.1,2024-03-31T12:13:42.233,2024-03-31T12:14:51,"{""id"": 4911536339, ""qualifierId"": 56, ""value"": ""Center""}",1.0,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,50.0,20.3,NaN,NaN,NaN,NaN,97.6,48.9,NaN,NaN,NaN,NaN,true,NaN,NaN,109,NaN,NaN,NaN,0.05463995411992073,0.0195,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2665531229,122,15,1,13,4,S. Ylätupa,ersburboye1ic6pxc36ytm4et,1,88.6,51.4,2024-03-31T12:14:28.965,2024-03-31T12:18:54,"{""id"": 4911566607, ""qualifierId"": 233, ""value"": ""105""}",1.0,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.8,12.0,NaN,NaN,NaN,NaN,98.9,50.7,NaN,true,NaN,NaN,NaN,NaN,NaN,105,NaN,NaN,NaN,0.09370668977499008,0.06,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2665541753,240,13,1,22,33,L. Larsen,dijsnwotozcyyreas8n3oehw4,1,73.7,38.0,2024-03-31T12:23:57.729,2024-03-31T12:29:12,"{""id"": 4911597839, ""qualifierId"": 18}",NaN,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,41.0,22.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,97.1,49.1,NaN,NaN,NaN,NaN,0.014433464966714382,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2665546007,263,15,1,27,49,M. Carlson,b5r9e8cyb3ds82vcy387j717t,1,87.3,42.4,2024-03-31T12:29:13.956,2024-03-31T12:30:28,"{""id"": 4911621681, ""qualifierId"": 17}",NaN,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,true,NaN,true,NaN,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,48.6,19,true,NaN,NaN,NaN,89.5,43.5,NaN,NaN,NaN,NaN,NaN,98.2,50,307,NaN,NaN,NaN,0.03318970650434494,NaN,NaN,3,3,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2665548897,352,16,1,31,36,J. Schoop,5dkmh0f8c1o1uye07m28hkatx,1,80.7,30.0,2024-03-31T12:33:00.756,2024-03-31T12:34:40,"{""id"": 4997131035, ""qualifierId"": 121}",1.0,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.2,12.7,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,98.1,47.8,NaN,true,true,NaN,0.038957517594099045,0.4455,true,1,3,NaN,2024-03-31 13:32:59.292,31:35.245,NaN,1.8,49.8,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2665557891,359,13,1,39,1,F. Ellegaard,axku82d0k0yneq3cgw2rztox6,1,75.3,73.2,2024-03-31T12:40:25.409,2024-03-31T12:41:47,"{""id"": 4911689171, ""qualifierId"": 74}",1.0,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.2,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.2,52.3,NaN,NaN,NaN,NaN,0.011035948060452938,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9p2s410bvc59jz238ugicc3fn,Næstved,2665564945,397,16,1,44,12,N. Girmai Netabay,9469qatlpe6rdqko8c6ha4out,1,73.8,43.6,2024-03-31T12:45:36.848,2024-03-31T12:46:56,"{""id"": 4911724359, ""qualifierId"": 26}",NaN,50rpntnzflous6l0szv7ibms4,Helsingør vs Næstved,2024-03-31,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.0,23.4,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.4,49.3,NaN,NaN,NaN,true,0.027441108599305153,0.2845,NaN,1,3,NaN,2024-03-31 13:45:35.177,44:11.130,NaN,98.5,51.8,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
