Type,PlayerId,Team,Position,ControlArea,TotalControlArea,CenterControlArea,PenaltyAreaControl,Frames,label,date
Player,F. Mehder,Fredericia,GK,172891644.48533085,172891644.48533085,84274698.49242082,74625134.16202228,145750,Hillerød vs Fredericia,2023-10-20
Player,W. Lykke,Hillerød,GK,172808677.44999585,172808677.44999585,89227271.73696327,72380741.95852111,145750,Hillerød vs Fredericia,2023-10-20
Player,S. Sharif,Hillerød,RB,56564304.50855334,56564304.50855334,47708253.90780548,3926175.0638276455,145750,Hillerød vs Fredericia,2023-10-20
Player,M. Fischer,Fredericia,RCB,56548424.847801216,56548424.847801216,49535360.00744048,3918966.383545964,145750,Hillerød vs Fredericia,2023-10-20
Player,J. Juelsgard,Fredericia,LCB,53900427.327231385,53900427.327231385,45884852.20301622,4732495.365292849,145750,Hillerød vs Fredericia,2023-10-20
Player,L. Boje-Larsen,Hillerød,LB,53045098.2635683,53045098.2635683,46259168.46481449,2923330.6284537576,145750,Hillerød vs Fredericia,2023-10-20
Player,N. Ritter,Fredericia,LB,37274456.75470583,37274456.75470583,33699385.19896806,1345773.4439838615,96071,Hillerød vs Fredericia,2023-10-20
Player,G. Arndal-Lauritzen,Hillerød,LCB,34652064.80596793,34652064.80596793,29860816.565766938,3275589.3902568496,145750,Hillerød vs Fredericia,2023-10-20
Player,J. Witt,Hillerød,RCB,29531097.313814312,29531097.313814312,25594359.285687257,2892442.2444499615,145750,Hillerød vs Fredericia,2023-10-20
Player,F. Carstensen,Fredericia,LF,25604824.966902923,25604824.966902923,21661855.15951067,1623101.972396746,145750,Hillerød vs Fredericia,2023-10-20
Player,N. Rojkjaer,Fredericia,RCM,25584545.97466284,25584545.97466284,21922636.43972873,1390862.1364040677,145750,Hillerød vs Fredericia,2023-10-20
Player,F. Christensen,Fredericia,SUB,23036328.746654723,23036328.746654723,20901334.97800727,675676.2875198971,49679,Hillerød vs Fredericia,2023-10-20
Player,Mikkel Juhl Aagaard Andersen,Fredericia,RB,21951696.57842862,21951696.57842862,17927601.107699107,1832213.7120429622,72076,Hillerød vs Fredericia,2023-10-20
Player,J. Gertsen,Fredericia,SUB,21419440.156195343,21419440.156195343,18736850.405179724,1839854.8732692625,73674,Hillerød vs Fredericia,2023-10-20
Player,S. Pingel,Hillerød,CAM,16816574.180191793,16816574.180191793,14660766.230837893,1444370.8416403036,145750,Hillerød vs Fredericia,2023-10-20
Player,E. Dall,Fredericia,RF,15583378.122698218,15583378.122698218,13040015.632695647,1688423.4363765595,145750,Hillerød vs Fredericia,2023-10-20
