contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,17,18,19,20,22,23,25,26,29,56,60,61,63,64,72,73,74,75,76,77,78,79,80,81,82,83,84,85,89,102,103,108,133,146,147,153,154,160,214,215,230,231,233,254,321,322,323,324,326,327,328,338,343,374,375,391,395,396,458,468,16,24,65,21,136,138,274,275,120,86,121,300,62,87,122,280,281,282,472,9,353,390,100,101,114,139,469,216,217,276,473,66,68,273,28,189,192,67
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2664757709,53,13,1,3,13,M. Soulas,6rd849oap6uh93wdwjk8590q1,1,91.1,46.2,2024-03-30T15:36:13.762,2024-03-30T15:37:28,1.0,"{""id"": 4907368189, ""qualifierId"": 17}",cz5okf9ra66igdipk5w3f08ic,AaB vs SønderjyskE,2024-03-30,true,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.9,70.8,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,98.6,48.9,NaN,NaN,0.06558404117822647,NaN,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2664772643,87,15,1,11,37,M. Jørgensen,1arzd8hqj73byhduozscqz5uy,1,85.8,42.3,2024-03-30T15:44:38.235,2024-03-30T15:45:51,1.0,"{""id"": 4916479637, ""qualifierId"": 80}",cz5okf9ra66igdipk5w3f08ic,AaB vs SønderjyskE,2024-03-30,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,47.2,12.7,NaN,NaN,97.1,48.6,NaN,true,NaN,NaN,NaN,NaN,NaN,122,NaN,0.06323813647031784,0.1068,NaN,NaN,1,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2664768393,110,15,1,9,10,T. Kløve,ozsu77pdl1qshegexnbjfqvp,1,78.1,52.1,2024-03-30T15:42:11.618,2024-03-30T15:43:22,1.0,"{""id"": 4907426827, ""qualifierId"": 233, ""value"": ""68""}",cz5okf9ra66igdipk5w3f08ic,AaB vs SønderjyskE,2024-03-30,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,51.2,19,NaN,NaN,80.8,52.0,NaN,NaN,NaN,NaN,true,99.3,50.2,68,NaN,0.05792661011219025,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2664769225,114,14,1,9,43,D. Grétarsson,czpstoiy12awqpasz573ckp91,1,90.8,46.2,2024-03-30T15:42:43.938,2024-03-30T15:44:33,NaN,"{""id"": 4907430831, ""qualifierId"": 458}",cz5okf9ra66igdipk5w3f08ic,AaB vs SønderjyskE,2024-03-30,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.0,39.2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.2,48.9,NaN,NaN,0.08101318031549454,NaN,NaN,NaN,1,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2664790855,214,15,1,25,16,M. Widell,3q4tnk1z46lop4rbdpjtfoc2c,1,86.5,34.4,2024-03-30T15:58:16.862,2024-03-30T15:59:48,NaN,"{""id"": 4907542843, ""qualifierId"": 321, ""value"": ""0.0410577766597271""}",cz5okf9ra66igdipk5w3f08ic,AaB vs SønderjyskE,2024-03-30,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.6,12.0,NaN,NaN,95.9,45.8,NaN,NaN,NaN,true,NaN,NaN,NaN,255,NaN,0.0410577766597271,0.1736,NaN,NaN,3,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,2664791093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2664789987,246,15,1,24,27,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,1,78.1,37.0,2024-03-30T15:57:28.200,2024-03-30T15:58:38,1.0,"{""id"": 4907538127, ""qualifierId"": 22}",cz5okf9ra66igdipk5w3f08ic,AaB vs SønderjyskE,2024-03-30,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,45.7,1.3,NaN,NaN,97.2,48.2,NaN,NaN,NaN,NaN,true,NaN,NaN,207,NaN,0.01569192111492157,0.3629,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2664799285,282,15,1,33,33,R. Thelander,cw6s5hf1tytvb98vjuosz9r6d,1,90.3,44.4,2024-03-30T16:06:34.567,2024-03-30T16:09:50,NaN,"{""id"": 4907601915, ""qualifierId"": 233, ""value"": ""336""}",cz5okf9ra66igdipk5w3f08ic,AaB vs SønderjyskE,2024-03-30,NaN,true,NaN,NaN,true,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,51.7,19,NaN,NaN,91.7,45.5,NaN,NaN,NaN,NaN,NaN,97.1,48.0,336,NaN,0.04436582326889038,NaN,NaN,NaN,3,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2664794143,305,15,1,29,10,A. Oggesen,3361cs2j60yxzy9mir80byqc5,1,81.2,31.3,2024-03-30T16:02:11.587,2024-03-30T16:03:27,1.0,"{""id"": 4907559585, ""qualifierId"": 56, ""value"": ""Center""}",cz5okf9ra66igdipk5w3f08ic,AaB vs SønderjyskE,2024-03-30,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,50.5,19,NaN,NaN,84.5,34.7,NaN,NaN,NaN,NaN,true,98.9,48.7,243,NaN,0.020914454013109207,NaN,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2664794175,306,13,1,29,13,S. Emini,5x8064b3yr7txk0czddfjtffu,1,80.8,42.1,2024-03-30T16:02:14.650,2024-03-30T16:36:30,NaN,"{""id"": 4907559715, ""qualifierId"": 22}",cz5okf9ra66igdipk5w3f08ic,AaB vs SønderjyskE,2024-03-30,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,43.0,66.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,97.6,48.0,NaN,NaN,0.0541013702750206,NaN,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2664813655,371,15,1,43,35,Y. Bakiz,bb8q9cgqzw9n2tmkl8s3bth0q,1,98.0,61.8,2024-03-30T16:16:36.501,2024-03-30T16:18,1.0,"{""id"": 4907665097, ""qualifierId"": 103, ""value"": ""7.0""}",cz5okf9ra66igdipk5w3f08ic,AaB vs SønderjyskE,2024-03-30,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,50.7,7.0,NaN,NaN,98.5,59.4,NaN,true,NaN,true,NaN,NaN,NaN,445,NaN,0.10777615755796432,0.3495,NaN,NaN,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
