contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,16,17,18,19,20,22,24,25,26,29,56,61,63,64,72,74,75,76,77,78,79,80,81,82,84,85,89,100,102,103,108,133,136,146,147,153,154,214,215,230,231,233,321,322,326,327,328,374,375,391,395,396,458,23,73,83,114,138,274,276,280,281,282,323,324,338,472,139,113,121,137,60,67,87,101,120,468,469,473,9,160,314,353,390,28,62,65,254,21,275,70,86,300,66,343,68
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573195591,41,16,1,2,4,M. Etim,1fjkjzsei9slx2t4zhsqdkve1,1,85.6,46.4,2023-08-05T12:02:24.591,2023-08-08T09:29:41,1.0,"{""id"": 4417426387, ""qualifierId"": 103, ""value"": ""1.9""}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.9,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.9,47.1,NaN,0.38015836477279663,0.3232,2,1,NaN,2023-08-05 13:02:23.672,02:03.486,NaN,88.0,46.8,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573196215,49,15,1,3,47,O. Drost,1n4t6k5k2on5iihoc59brxi3t,1,81.3,70.8,2023-08-05T12:04:07.498,2023-08-08T09:29:52,NaN,"{""id"": 4424556049, ""qualifierId"": 81}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.1,25.3,NaN,NaN,NaN,95.9,54.2,NaN,NaN,NaN,NaN,NaN,NaN,21,0.03225371614098549,0.1531,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573205367,181,15,1,19,37,R. Marcus,ahs6m7vvgmj6ydqok7as4nx0,1,76.1,49.9,2023-08-05T12:19:57.491,2023-08-08T10:30:09,1.0,"{""id"": 4417474929, ""qualifierId"": 233, ""value"": ""203""}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.2,18.4,NaN,NaN,NaN,94.3,50.0,NaN,NaN,NaN,NaN,NaN,NaN,203,0.02372235246002674,0.349,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2573204703,194,13,1,18,19,A. Simon Okosun,a7eramyy1bd8msxmg84ctc8ut,1,92.2,58.3,2023-08-05T12:18:39.953,2023-08-08T10:30:19,1.0,"{""id"": 4417471329, ""qualifierId"": 22}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.0,13.9,NaN,NaN,NaN,96.7,49.1,NaN,NaN,NaN,NaN,98.9,51.8,NaN,0.046850964426994324,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2573204745,195,15,1,18,20,O. Buch,y4dl1rer075c9wz6zhx7skbt,1,96.7,49.3,2023-08-05T12:18:40.502,2023-08-08T10:30:14,1.0,"{""id"": 4417471487, ""qualifierId"": 326, ""value"": ""2""}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.5,25.9,NaN,NaN,NaN,99.0,49.8,NaN,NaN,NaN,NaN,NaN,NaN,164,0.3873704671859741,0.973,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573206483,200,15,1,21,47,S. Yatéké,9ircna8pbskreztmy1wiqwx9m,1,93.4,63.0,2023-08-05T12:22:07.575,2023-08-05T12:23:24,1.0,"{""id"": 4417480501, ""qualifierId"": 82}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.3,19,NaN,NaN,NaN,95.0,60.7,NaN,NaN,NaN,NaN,99.1,52.9,215,0.03449604660272598,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573208419,238,15,1,25,36,N. Mouritsen,eyvv6b94feknnp1uew6n0ytat,1,71.9,76.7,2023-08-05T12:25:56.749,2023-08-05T12:27:08,1.0,"{""id"": 4417489767, ""qualifierId"": 215}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.4,19,NaN,NaN,NaN,78.2,70.8,NaN,NaN,NaN,NaN,98.8,51.4,242,0.010763050988316536,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573208681,248,15,1,26,10,D. Norouzi,d43hrj4xi5xdij00jplvqju1h,1,81.2,50.7,2023-08-05T12:26:30.710,2023-08-08T10:30:12,1.0,"{""id"": 4417491539, ""qualifierId"": 328}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.0,19,NaN,NaN,NaN,82.8,50.7,NaN,NaN,NaN,NaN,98.8,50,254,0.03563053160905838,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573208909,252,13,1,26,59,F. Helstrup,5ojtpz2h5kjoaq3cwcfjrf6c5,1,91.0,55.0,2023-08-05T12:27:19.727,2023-08-08T10:30:22,1.0,"{""id"": 4417492225, ""qualifierId"": 17}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.4,81.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.4,50.4,NaN,0.03911147639155388,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573209167,263,15,1,27,34,O. Drost,1n4t6k5k2on5iihoc59brxi3t,1,75.9,77.5,2023-08-05T12:27:54.287,2023-08-08T10:30:16,1.0,"{""id"": 4417493527, ""qualifierId"": 321, ""value"": ""0.011920087039470673""}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.6,19,NaN,NaN,NaN,81.6,71.1,NaN,NaN,NaN,NaN,98.2,51.3,253,0.011920087039470673,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573210689,311,13,1,31,4,K. Enghardt,khqldwfq14b7giakss24l9t5,1,75.1,35.3,2023-08-05T12:31:24.693,2023-08-08T11:29:57,1.0,"{""id"": 4417501057, ""qualifierId"": 230, ""value"": ""97.6""}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.7,86.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.6,48.6,NaN,0.028366750106215477,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573212117,347,15,1,34,34,R. Marcus,ahs6m7vvgmj6ydqok7as4nx0,1,82.5,52.0,2023-08-05T12:34:54.266,2023-08-08T11:30,1.0,"{""id"": 4417507923, ""qualifierId"": 215}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.0,1.9,NaN,NaN,NaN,99.1,50.0,NaN,NaN,NaN,NaN,NaN,NaN,309,0.09607525169849396,0.053,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2573216299,400,13,1,43,1,L. Jensen,139g7ilwvcpl519v3scnweg2d,1,82.5,34.0,2023-08-05T12:43:22.940,2023-08-08T11:29:49,1.0,"{""id"": 4424702547, ""qualifierId"": 81}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.3,84.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.6,48.2,NaN,0.04117976501584053,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573217553,427,15,1,45,23,M. Etim,1fjkjzsei9slx2t4zhsqdkve1,1,85.3,51.1,2023-08-05T12:45:43.853,2023-08-08T11:29:53,1.0,"{""id"": 4417536245, ""qualifierId"": 233, ""value"": ""412""}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.0,19,NaN,NaN,NaN,88.6,51.1,NaN,NaN,NaN,NaN,98.6,48.6,412,0.024769624695181847,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573218133,437,13,1,46,18,M. Knudsen,7mz3eeftobqmj35uu0ax1vbhl,1,57.6,29.1,2023-08-05T12:46:38.590,2023-08-08T11:29:52,NaN,"{""id"": 4417539769, ""qualifierId"": 321, ""value"": ""0.025888623669743538""}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.2,59.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.9,48.9,NaN,0.025888623669743538,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573228019,476,13,2,47,47,M. Etim,1fjkjzsei9slx2t4zhsqdkve1,1,85.8,28.5,2023-08-05T13:08:29.873,2023-08-08T12:29:46,1.0,"{""id"": 4417591057, ""qualifierId"": 231, ""value"": ""45.7""}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.6,68.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.6,45.7,NaN,0.03314527869224548,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573231589,516,15,2,54,26,M. Etim,1fjkjzsei9slx2t4zhsqdkve1,1,87.5,36.9,2023-08-05T13:15:09.243,2023-08-08T13:30:29,1.0,"{""id"": 4417610941, ""qualifierId"": 154}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.2,19,NaN,NaN,NaN,90.3,39.9,NaN,NaN,NaN,NaN,98.1,46.9,554,0.08803510665893555,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573231853,526,15,2,54,50,M. Etim,1fjkjzsei9slx2t4zhsqdkve1,1,91.6,31.0,2023-08-05T13:15:33.484,2023-08-08T13:30:22,1.0,"{""id"": 4417612161, ""qualifierId"": 63}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.1,13.3,NaN,NaN,NaN,98.8,46.9,NaN,NaN,NaN,NaN,NaN,NaN,559,0.04260461404919624,0.1354,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2573232953,536,13,2,56,45,N. Mouritsen,eyvv6b94feknnp1uew6n0ytat,1,72.8,49.9,2023-08-05T13:17:28.367,2023-08-08T13:30:27,NaN,"{""id"": 4417618495, ""qualifierId"": 231, ""value"": ""50.5""}",9es8giipq6pl4gmc1adt2vs44,Vendsyssel vs Helsingør,2023-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.4,83.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.5,50.5,NaN,0.013486788608133793,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
