player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,label,match_id,date
J. Posavec,5sh5t0j4c7wfs2j4tv4jdg7v9,36g6ifzjliec1jqnbtf7yesme,NaN,NaN,Goalkeeper,Centre,NaN,11,NaN,2,NaN,13,4,NaN,2,19,17,90,19,NaN,10,10,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
J. Ahlmann,bmz2yqayufuyy33p3drvtjgt1,36g6ifzjliec1jqnbtf7yesme,3,1,Defender,Left,NaN,33,2,5,1,18,2,2,18,40,22,61,16,4,6,23,6,8,NaN,NaN,NaN,4,1,2,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
R. Thelander,cw6s5hf1tytvb98vjuosz9r6d,36g6ifzjliec1jqnbtf7yesme,2,2,Defender,Left/Centre,NaN,65,NaN,6,NaN,49,1,NaN,19,76,52,90,34,10,3,27,5,10,1,6,1,2,1,NaN,1,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
L. Kramer,7yst1mucy7jynmpzu1thox2i,36g6ifzjliec1jqnbtf7yesme,2,2,Defender,Centre/Right,NaN,63,NaN,9,3,46,5,NaN,21,78,55,90,37,8,5,27,5,8,NaN,9,NaN,NaN,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
K. Jørgensen,de0dokhb6u6hts2hu5aupgiga,36g6ifzjliec1jqnbtf7yesme,5,1,Defender,Right,NaN,38,4,7,5,22,3,2,20,50,27,90,16,7,4,29,10,13,5,2,5,1,2,5,2,NaN,2,NaN,NaN,NaN,3,1,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
M. Widell,3q4tnk1z46lop4rbdpjtfoc2c,36g6ifzjliec1jqnbtf7yesme,10,4,Midfielder,Left/Centre,NaN,36,2,10,3,20,1,2,18,43,22,72,19,8,7,24,10,14,NaN,1,NaN,5,2,1,2,2,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,1,1,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
M. Højholt,eyx42tgneccybvhk8bfhtcaqy,36g6ifzjliec1jqnbtf7yesme,7,2,Midfielder,Centre,NaN,45,2,5,1,31,5,1,18,56,36,90,18,2,13,24,3,3,1,1,1,8,1,1,1,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
O. Ross,5lz41celw55rz3zh8pohclw5w,36g6ifzjliec1jqnbtf7yesme,4,2,Midfielder,Centre/Right,NaN,29,1,9,1,15,6,1,14,34,17,61,10,3,7,18,10,13,NaN,3,NaN,1,1,1,1,2,3,2,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
Allan Sousa,acd2suy0kx4a4z5xfi1qiwiqx,36g6ifzjliec1jqnbtf7yesme,5,1,Striker,Left/Centre,NaN,36,1,6,11,10,2,NaN,30,44,12,90,15,4,6,41,17,21,2,3,5,4,NaN,5,NaN,3,8,4,NaN,NaN,2,2,NaN,3,3,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
N. Helenius,rv6r0bwbl75er38wklyfpsr9,36g6ifzjliec1jqnbtf7yesme,13,9,Striker,Centre,NaN,22,2,9,3,5,NaN,1,18,32,5,90,2,4,5,28,11,16,3,6,3,4,NaN,NaN,NaN,4,6,5,NaN,1,NaN,NaN,NaN,2,2,NaN,NaN,433,AaB vs Horsens,9dihdp850ow3hqwpaiwun6g44,2023-07-29
