x,y,playerName,teamName,pass_receiver,period,gameClock,label,date,bypassed_opponents,bypassed_defenders,closest_opponent_distance
49.8,50.1,J. Ankersen,Horsens,M. Kiilerich,1,0.0,Kolding vs Horsens,2023-07-23,-2,0,8.97
62.0,80.8,D. Kruse,Horsens,A. Sigurdarson,1,10.0,Kolding vs Horsens,2023-07-23,0,0,5.43
63.1,97.1,A. Sigurdarson,Horsens,A. Saine,1,13.0,Kolding vs Horsens,2023-07-23,2,1,1.4
67.7,90.8,A. Saine,Horsens,M. Opondo,1,19.0,Kolding vs Horsens,2023-07-23,0,0,-1.0
19.7,60.5,M. Vestergard,Kolding,C. Petersen,1,27.0,Kolding vs Horsens,2023-07-23,0,0,1.45
9.5,48.5,C. Petersen,Kolding,T. Mikkelsen,1,28.0,Kolding vs Horsens,2023-07-23,7,1,2.2
39.1,100.7,M. Vestergard,Kolding,T. Mikkelsen,1,53.0,Kolding vs Horsens,2023-07-23,4,2,4.2
73.5,98.1,M. Jespersen,Kolding,T. Mikkelsen,1,93.0,Kolding vs Horsens,2023-07-23,2,0,10.87
64.8,101.0,M. Vestergard,Kolding,M. Jespersen,1,154.0,Kolding vs Horsens,2023-07-23,-1,0,6.15
57.5,96.0,M. Jespersen,Kolding,S. Trier,1,156.0,Kolding vs Horsens,2023-07-23,-1,0,3.65
38.8,37.7,S. Trier,Kolding,D. Wilkins,1,161.0,Kolding vs Horsens,2023-07-23,0,0,14.68
4.9,57.1,M. Delac,Horsens,M. Opondo,1,189.0,Kolding vs Horsens,2023-07-23,2,0,35.8
37.7,-1.3,D. Wilkins,Kolding,P. Ngongo,1,214.0,Kolding vs Horsens,2023-07-23,3,0,7.3
57.1,9.5,P. Ngongo,Kolding,S. Trier,1,218.0,Kolding vs Horsens,2023-07-23,-1,0,1.17
25.8,36.7,C. Petersen,Kolding,S. Sommer,1,225.0,Kolding vs Horsens,2023-07-23,4,0,1.9
40.4,36.4,C. Kudsk,Kolding,J. Kiilerich,1,240.0,Kolding vs Horsens,2023-07-23,-2,0,5.77
50.4,-1.3,D. Wilkins,Kolding,S. Trier,1,248.0,Kolding vs Horsens,2023-07-23,-1,0,10.04
40.1,7.3,S. Trier,Kolding,D. Wilkins,1,250.0,Kolding vs Horsens,2023-07-23,1,0,9.99
67.4,7.6,P. Ngongo,Kolding,S. Trier,1,261.0,Kolding vs Horsens,2023-07-23,-6,-1,2.8
10.0,64.7,M. Delac,Horsens,D. Kruse,1,273.0,Kolding vs Horsens,2023-07-23,1,0,5.73
23.8,59.5,D. Kruse,Horsens,M. Kiilerich,1,275.0,Kolding vs Horsens,2023-07-23,-2,0,3.43
17.7,48.3,M. Kiilerich,Horsens,J. Buus,1,276.0,Kolding vs Horsens,2023-07-23,1,0,2.28
24.1,72.9,P. Tjornelund,Kolding,S. Trier,1,284.0,Kolding vs Horsens,2023-07-23,0,0,1.25
26.8,60.6,S. Trier,Kolding,M. Jespersen,1,288.0,Kolding vs Horsens,2023-07-23,2,0,2.01
30.7,87.6,J. Kiilerich,Kolding,M. Vestergard,1,292.0,Kolding vs Horsens,2023-07-23,2,0,9.97
55.0,95.3,M. Vestergard,Kolding,S. Sommer,1,295.0,Kolding vs Horsens,2023-07-23,-1,0,4.51
44.9,83.9,S. Sommer,Kolding,J. Kiilerich,1,297.0,Kolding vs Horsens,2023-07-23,-1,0,3.54
28.0,84.2,J. Kiilerich,Kolding,T. Mikkelsen,1,301.0,Kolding vs Horsens,2023-07-23,6,1,5.75
66.4,81.9,T. Mikkelsen,Kolding,S. Sommer,1,303.0,Kolding vs Horsens,2023-07-23,-1,-1,3.76
58.2,79.1,S. Sommer,Kolding,C. Kudsk,1,305.0,Kolding vs Horsens,2023-07-23,-3,0,5.22
51.6,68.6,C. Kudsk,Kolding,S. Trier,1,309.0,Kolding vs Horsens,2023-07-23,-1,0,7.25
48.3,39.4,S. Trier,Kolding,P. Tjornelund,1,313.0,Kolding vs Horsens,2023-07-23,0,0,8.77
35.7,53.7,P. Tjornelund,Kolding,J. Kiilerich,1,316.0,Kolding vs Horsens,2023-07-23,0,0,6.77
4.5,52.6,M. Delac,Horsens,M. Opondo,1,347.0,Kolding vs Horsens,2023-07-23,0,0,-1.0
59.8,73.6,M. Opondo,Horsens,A. Sigurdarson,1,351.0,Kolding vs Horsens,2023-07-23,2,0,4.92
70.0,102.0,A. Sigurdarson,Horsens,E. Just,1,359.0,Kolding vs Horsens,2023-07-23,2,1,5.05
72.9,78.4,E. Just,Horsens,A. Sigurdarson,1,361.0,Kolding vs Horsens,2023-07-23,-3,-1,2.81
41.3,88.2,A. Saine,Horsens,A. Sigurdarson,1,382.0,Kolding vs Horsens,2023-07-23,2,1,1.94
58.2,79.2,A. Sigurdarson,Horsens,M. Opondo,1,384.0,Kolding vs Horsens,2023-07-23,-1,0,2.65
47.2,78.3,M. Opondo,Horsens,A. Ludwig,1,386.0,Kolding vs Horsens,2023-07-23,-4,-2,4.92
34.1,74.9,A. Ludwig,Horsens,D. Kruse,1,387.0,Kolding vs Horsens,2023-07-23,2,0,5.99
37.7,54.1,D. Kruse,Horsens,J. Buus,1,388.0,Kolding vs Horsens,2023-07-23,0,0,2.64
26.0,27.8,J. Buus,Horsens,M. Delac,1,397.0,Kolding vs Horsens,2023-07-23,0,0,5.73
8.6,39.5,M. Delac,Horsens,A. Jacobsen,1,398.0,Kolding vs Horsens,2023-07-23,9,4,9.25
66.7,29.6,A. Jacobsen,Horsens,J. Ankersen,1,402.0,Kolding vs Horsens,2023-07-23,-3,-2,6.52
9.2,88.4,J. Kiilerich,Kolding,M. Jespersen,1,410.0,Kolding vs Horsens,2023-07-23,2,0,6.19
20.5,88.2,M. Jespersen,Kolding,P. Tjornelund,1,411.0,Kolding vs Horsens,2023-07-23,-5,-1,6.53
3.2,72.2,P. Tjornelund,Kolding,C. Petersen,1,414.0,Kolding vs Horsens,2023-07-23,0,0,3.17
80.3,-2.0,J. Buus,Horsens,J. Ankersen,1,435.0,Kolding vs Horsens,2023-07-23,2,0,5.65
85.6,-1.5,J. Buus,Horsens,M. Opondo,1,451.0,Kolding vs Horsens,2023-07-23,1,0,2.72
82.3,10.2,M. Opondo,Horsens,J. Buus,1,452.0,Kolding vs Horsens,2023-07-23,-2,0,2.36
79.5,11.6,J. Ankersen,Horsens,A. Sigurdarson,1,457.0,Kolding vs Horsens,2023-07-23,2,1,1.02
74.7,30.4,A. Sigurdarson,Horsens,E. Just,1,459.0,Kolding vs Horsens,2023-07-23,1,1,5.18
73.8,48.2,E. Just,Horsens,A. Saine,1,461.0,Kolding vs Horsens,2023-07-23,-3,-2,2.96
79.0,66.4,A. Saine,Horsens,J. Ankersen,1,463.0,Kolding vs Horsens,2023-07-23,0,0,6.66
40.6,83.3,A. Ludwig,Horsens,A. Saine,1,472.0,Kolding vs Horsens,2023-07-23,0,0,23.46
77.8,40.6,J. Ankersen,Horsens,A. Jacobsen,1,481.0,Kolding vs Horsens,2023-07-23,-1,0,0.73
84.3,38.2,A. Jacobsen,Horsens,J. Buus,1,483.0,Kolding vs Horsens,2023-07-23,-3,0,0.96
25.2,66.3,J. Kiilerich,Kolding,C. Kudsk,1,537.0,Kolding vs Horsens,2023-07-23,3,1,3.42
66.0,46.7,D. Kruse,Horsens,J. Ankersen,1,544.0,Kolding vs Horsens,2023-07-23,0,0,8.5
66.2,44.3,J. Ankersen,Horsens,A. Jacobsen,1,545.0,Kolding vs Horsens,2023-07-23,5,3,6.88
14.1,47.8,C. Kudsk,Kolding,P. Ngongo,1,550.0,Kolding vs Horsens,2023-07-23,5,2,7.88
45.0,41.2,D. Wilkins,Kolding,J. Kiilerich,1,565.0,Kolding vs Horsens,2023-07-23,-3,0,5.15
36.2,63.5,J. Kiilerich,Kolding,M. Jespersen,1,568.0,Kolding vs Horsens,2023-07-23,0,0,7.59
42.2,76.8,M. Jespersen,Kolding,J. Kiilerich,1,570.0,Kolding vs Horsens,2023-07-23,-1,0,2.44
25.2,21.6,M. Kiilerich,Horsens,J. Ankersen,1,577.0,Kolding vs Horsens,2023-07-23,7,2,4.29
43.4,5.5,M. Kiilerich,Horsens,A. Ludwig,1,592.0,Kolding vs Horsens,2023-07-23,0,0,3.05
32.1,39.0,A. Ludwig,Horsens,D. Kruse,1,595.0,Kolding vs Horsens,2023-07-23,0,0,12.8
43.5,66.9,D. Kruse,Horsens,A. Sigurdarson,1,599.0,Kolding vs Horsens,2023-07-23,0,0,8.92
58.3,89.0,A. Sigurdarson,Horsens,E. Just,1,602.0,Kolding vs Horsens,2023-07-23,4,1,3.05
65.4,72.4,E. Just,Horsens,A. Jacobsen,1,605.0,Kolding vs Horsens,2023-07-23,4,3,5.65
