type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,date,home_team,away_team
ballPossession,56.0,44.0,NaN,5,0-5,36.2,63.8,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,6-10,79.3,20.7,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,11-15,58.5,41.5,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,16-20,57.6,42.4,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,21-25,51.5,48.5,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,26-30,64.3,35.7,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,31-35,69.0,31.0,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,36-40,45.7,54.3,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,41-45,36.9,63.1,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,46-50,72.7,27.3,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,51-55,47.2,52.8,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,56-60,65.7,34.3,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,61-65,57.1,42.9,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,66-70,52.9,47.1,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,71-75,42.9,57.1,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,76-80,55.2,44.8,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,81-85,56.1,43.9,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,5,86-90,55.8,44.2,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,15,0-15,59.6,40.4,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,15,16-30,58.2,41.8,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,15,31-45,45.3,54.7,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,15,46-60,64.9,35.1,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,15,61-75,52.8,47.2,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,15,76-90,55.7,44.3,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,45,0-45,54.0,46.0,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,56.0,44.0,NaN,45,46-90,58.0,42.0,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,0-5,19.1,80.9,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,6-10,43.1,56.9,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,11-15,31.7,68.3,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,16-20,39.0,61.0,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,21-25,63.6,36.4,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,26-30,61.9,38.1,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,31-35,34.5,65.5,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,36-40,76.1,23.9,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,41-45,29.8,70.2,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,46-50,35.1,64.9,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,51-55,25.0,75.0,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,5,56-60,34.3,65.7,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
